AccNum,Symbol
NM_000518,HBB
NM_000519,HBD
NM_018955,UBB
NM_000342,SLC4A1
NM_006082,TUBA1B
NM_002129,HMGB2
NM_004099,STOM
NM_000097,CPOX
NM_005321,HIST1H1E
NM_005320,HIST1H1D
NM_005318,H1F0
NM_197978,HEMGN
NM_006098,RACK1
NM_002105,H2AFX
NM_000713,BLVRB
NM_005322,HIST1H1B
NM_006472,TXNIP
NM_001752,CAT
NM_001970,EIF5A
NM_001961,EEF2
NM_001145454,STMN1
