AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001243237	0	0	0	0	0	0	0
NM_004292	43.0	4	1.0	47.0	45.0	0	0
NM_138368	452.0	3	0	455.0	454.0	0	1.0
NM_032199	429.0	31	13.0	460.0	409.0	3.0	0
NM_003350	257.0	36	1.0	293.0	213.0	0	16.0
NM_000885	3634.0	733	32.0	4367.0	3896.0	296.0	93.0
NM_014045	2168.0	79	0	2247.0	1797.0	437.0	1.0
NM_002993	1.0	0	0	1.0	1.0	0	0
NM_001317335	1056.0	90	0	1146.0	1000.0	0	41.0
NM_001353448	7.0	0	1.0	7.0	7.0	0	0
NM_145304	0	0	0	0	0	0	0
NM_201453	0	0	0	0	0	0	0
NM_031957	0	0	0	0	0	0	0
NM_001352885	0	0	0	0	0	0	0
NM_024798	12.0	2	0	14.0	10.0	0	1.0
NM_001029874	0	0	0	0	0	0	0
NM_002794	1503.0	352	0	1855.0	1315.0	378.0	31.0
NM_004230	55.0	0	0	55.0	42.0	10.0	0
NM_003840	61.0	4	1.0	65.0	47.0	10.0	2.0
NM_020125	20.0	2	0	22.0	17.0	1.0	0
NM_017488	99.0	31	2.0	130.0	113.0	9.0	4.0
NM_002659	1050.0	118	13.0	1168.0	1051.0	14.0	31.0
NM_182578	1.0	0	0	1.0	1.0	0	0
NM_001258345	34.0	6	1.0	40.0	21.0	13.0	3.0
NM_005335	2214.0	676	9.0	2890.0	2537.0	158.0	20.0
NM_003403	1584.0	60	5.0	1644.0	1360.0	210.0	13.0
NM_147156	241.0	27	81.0	268.0	160.0	101.0	5.0
NM_001291641	353.0	58	0	411.0	331.0	71.0	2.0
NM_001190259	15.0	0	0	15.0	9.0	3.0	1.0
NM_014463	115.0	13	1.0	128.0	73.0	3.0	1.0
NM_017821	0	0	0	0	0	0	0
NM_001324400	0	0	0	0	0	0	0
NM_144588	262.0	27	3.0	289.0	227.0	49.0	12.0
NM_001004058	0	0	0	0	0	0	0
NM_000117	637.0	95	0	732.0	469.0	83.0	16.0
NM_198903	0	0	0	0	0	0	0
NM_001862	1618.0	220	4.0	1838.0	1342.0	2.0	32.0
NM_144569	16.0	2	3.0	18.0	18.0	0	0
NM_003413	0	0	0	0	0	0	0
NM_013979	81.0	10	2.0	91.0	65.0	0	5.0
NM_013443	48.0	2	0	50.0	45.0	1.0	2.0
NM_006737	0	0	0	0	0	0	0
NM_001143	0	0	0	0	0	0	0
NM_001354216	291.0	38	14.0	329.0	297.0	23.0	5.0
NM_001282484	4.0	2	1.0	6.0	6.0	0	0
NM_016951	0	47	0	47	47	0	0
