AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_000346	0	0	0	0	0	0	0
NM_002055	0	0	0	0	0	0	0
NM_001099851	0	0	0	0	0	0	0
NM_001351725	1080.0	137	41.0	1217.0	1179.0	16.0	10.0
NM_182757	81.0	14	3.0	95.0	51.0	38.0	2.0
NM_001080514	0	0	0	0	0	0	0
NM_001308333	2.0	0	3.0	2.0	2.0	0	0
NM_007052	0	0	13.0	0	0	0	0
NM_001351743	429.0	68	4.0	497.0	389.0	17.0	8.0
NM_001099857	88.0	55	0	143.0	98.0	23.0	0
NM_006653	3.0	1	0	4.0	1.0	3.0	0
NM_006031	732.0	46	10.0	778.0	753.0	5.0	2.0
NM_001124767	119.0	7	0	126.0	55.0	28.0	2.0
NM_022142	0	0	0	0	0	0	0
NM_014660	629.0	95	29.0	724.0	596.0	82.0	14.0
NM_015430	0	0	0	0	0	0	0
NM_014706	1174.0	131	4.0	1305.0	1189.0	3.0	5.0
NM_005576	52.0	4	1.0	56.0	46.0	9.0	1.0
NM_000392	0	0	0	0	0	0	0
NM_005623	1.0	0	0	1.0	0	0	0
NM_002869	721.0	61	88.0	782.0	293.0	477.0	3.0
NM_014683	39.0	3	0	42.0	26.0	14.0	0
NM_052874	20.0	5	2.0	25.0	22.0	1.0	1.0
NM_001017963	6632.0	8	418.0	6640.0	6627.0	2.0	11.0
NM_015050	410.0	93	1.0	503.0	435.0	38.0	10.0
NM_001145928	623.0	118	3.0	741.0	735.0	0	6.0
NM_025194	91.0	7	0	98.0	90.0	2.0	0
NM_138389	60.0	7	0	67.0	41.0	0	7.0
NM_001346557	4.0	0	0	4.0	2.0	2.0	0
NM_007162	57.0	6	1.0	63.0	58.0	0	1.0
NM_173174	1378.0	369	34.0	1747.0	1389.0	300.0	25.0
NM_001145031	259.0	53	1.0	312.0	277.0	32.0	3.0
NM_001281439	472.0	40	31.0	512.0	346.0	35.0	63.0
NM_001001952	0	0	0	0	0	0	0
NM_005414	613.0	29	15.0	642.0	502.0	122.0	12.0
NM_000124	219.0	18	2.0	237.0	217.0	12.0	1.0
NM_001102614	0	0	0	0	0	0	0
NM_018225	863.0	73	3.0	936.0	685.0	58.0	3.0
NM_006581	0	0	0	0	0	0	0
NM_001288702	0	0	0	0	0	0	0
NM_001081461	430.0	32	2.0	462.0	309.0	64.0	1.0
NM_014566	0	0	0	0	0	0	0
NM_139314	4.0	0	0	4.0	3.0	0	1.0
NM_015353	130.0	20	0	150.0	99.0	4.0	7.0
NM_173855	2.0	0	1.0	2.0	2.0	0	0
NM_001098722	0	0	0	0	0	0	0
NM_004104	8703.0	1110	1.0	9813.0	9444.0	6.0	3.0
NM_001029865	0	0	0	0	0	0	0
NM_016073	254.0	16	7.0	270.0	131.0	99.0	10.0
NM_001037144	260.0	9	1.0	269.0	140.0	125.0	0
NM_001338	5.0	0	0	5.0	5.0	0	0
NM_015101	84.0	10	1.0	94.0	77.0	17.0	0
NM_001039380	21.0	0	0	21.0	18.0	0	3.0
NM_001184705	951.0	98	7.0	1049.0	905.0	13.0	36.0
NM_152373	79.0	9	3.0	88.0	50.0	25.0	0
NM_001261826	1327.0	300	8.0	1627.0	1518.0	56.0	12.0
NM_005072	128.0	27	2.0	155.0	144.0	0	1.0
NM_001375	852.0	86	0	938.0	822.0	78.0	8.0
NM_003055	0	0	0	0	0	0	0
NM_153699	0	0	0	0	0	0	0
NM_018934	0	0	0	0	0	0	0
NM_001198	16.0	3	5.0	19.0	17.0	1.0	1.0
NM_015512	22.0	2	84.0	24.0	24.0	0	0
NM_001608	0	0	0	0	0	0	0
NM_033256	54.0	4	2.0	58.0	30.0	3.0	1.0
NM_004446	3398.0	551	3.0	3949.0	3630.0	114.0	28.0
NM_001330210	226.0	17	2.0	243.0	162.0	74.0	2.0
NM_203314	242.0	29	9.0	271.0	218.0	44.0	3.0
NM_080473	16.0	4	0	20.0	18.0	0	1.0
NM_016230	408.0	101	12.0	509.0	427.0	54.0	24.0
NM_001345982	111.0	2	1.0	113.0	94.0	17.0	2.0
NM_001164824	210.0	0	0	210.0	118.0	0	16.0
NM_001098616	626.0	62	1.0	688.0	425.0	243.0	5.0
NM_001708	0	0	0	0	0	0	0
NM_001130438	2254.0	384	0	2638.0	2532.0	12.0	4.0
NM_001199828	0	0	0	0	0	0	0
NM_194296	9.0	2	3.0	11.0	9.0	0	0
NM_012241	77.0	8	4.0	85.0	53.0	29.0	2.0
NM_016444	96.0	21	4.0	117.0	81.0	17.0	0
NM_022719	193.0	13	1.0	206.0	170.0	0	5.0
NM_001286633	5.0	1	0	6.0	6.0	0	0
NM_030903	0	0	0	0	0	0	0
NM_006461	881.0	126	0	1007.0	924.0	74.0	2.0
NM_005141	0	0	0	0	0	0	0
NM_001286745	217.0	15	2.0	232.0	106.0	113.0	8.0
NM_152636	94.0	1	47.0	95.0	45.0	34.0	16.0
NM_002516	1.0	0	0	1.0	1.0	0	0
NM_001134445	29.0	10	24.0	39.0	38.0	0	0
NM_001206651	1185.0	142	7.0	1327.0	1075.0	41.0	27.0
NM_004055	27.0	3	0	30.0	29.0	1.0	0
NM_175881	0	0	0	0	0	0	0
NM_004948	0	0	0	0	0	0	0
NM_001328655	0	0	0	0	0	0	0
NM_032214	402.0	26	2.0	428.0	134.0	270.0	13.0
NM_001355243	105.0	0	0	105.0	76.0	1.0	10.0
NM_001818	0	0	1.0	0	0	0	0
NM_014034	414.0	27	1.0	441.0	283.0	115.0	3.0
NM_052942	171.0	26	0	197.0	168.0	21.0	3.0
NM_001330266	605.0	191	111.0	796.0	767.0	18.0	10.0
NM_016297	652.0	48	0	700.0	660.0	1.0	7.0
NM_207351	34.0	2	0	36.0	33.0	1.0	2.0
NM_153833	0	0	0	0	0	0	0
NM_001304940	646.0	41	2.0	687.0	561.0	103.0	4.0
NM_201433	122.0	24	9.0	146.0	127.0	14.0	5.0
NM_001349277	836.0	135	32.0	971.0	731.0	226.0	12.0
NM_182710	472.0	89	2.0	561.0	549.0	3.0	1.0
NM_001106	14.0	4	0	18.0	16.0	0	1.0
NM_001349253	14.0	0	14.0	14.0	11.0	2.0	0
NM_004205	5.0	3	1.0	8.0	8.0	0	0
NM_001195144	830.0	190	91.0	1020.0	907.0	49.0	19.0
NM_000155	139.0	31	3.0	170.0	137.0	12.0	0
NM_012131	0	0	0	0	0	0	0
NM_153377	2.0	0	0	2.0	2.0	0	0
NM_006944	0	0	0	0	0	0	0
NM_032784	0	0	0	0	0	0	0
NM_032108	19.0	0	0	19.0	15.0	4.0	0
NM_153614	0	0	1.0	0	0	0	0
NM_001178098	0	0	0	0	0	0	0
NM_000876	1153.0	161	26.0	1314.0	1298.0	7.0	9.0
NM_000559	99.0	0	0	99.0	99.0	0	0
NM_001323949	410.0	82	13.0	492.0	292.0	173.0	20.0
NM_004172	68.0	5	2.0	73.0	61.0	9.0	2.0
NM_004452	0	0	0	0	0	0	0
NM_001527	2571.0	424	0	2995.0	2716.0	146.0	50.0
NM_178170	33.0	10	0	43.0	42.0	0	0
NM_173483	31.0	3	0	34.0	31.0	3.0	0
NM_004304	0	0	1.0	0	0	0	0
NM_057179	0	0	0	0	0	0	0
NM_001100420	373.0	26	3.0	399.0	259.0	23.0	5.0
NM_030755	1145.0	36	0	1181.0	865.0	2.0	43.0
NM_002622	207.0	24	6.0	231.0	160.0	0	1.0
NM_004519	1.0	0	0	1.0	0	0	1.0
NM_001103176	0	0	0	0	0	0	0
NM_018125	5.0	0	1.0	5.0	5.0	0	0
