AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_030966	0	0	0	0	0	0	0
NM_001145777	4045.0	274	484.0	4319.0	2170.0	1382.0	56.0
NM_001017526	0	0	0	0	0	0	0
NM_173806	0	0	0	0	0	0	0
NM_182983	0	0	0	0	0	0	0
NM_014241	101.0	7	3.0	108.0	78.0	6.0	0
NM_001034996	2339.0	182	4.0	2521.0	2404.0	80.0	37.0
NM_001037442	49.0	5	2.0	54.0	54.0	0	0
NM_001058	0	0	0	0	0	0	0
NM_138782	325.0	84	15.0	409.0	367.0	4.0	12.0
NM_006753	688.0	27	3.0	715.0	551.0	14.0	3.0
NM_001354199	285.0	53	3.0	338.0	278.0	52.0	3.0
NM_001135147	2501.0	271	199.0	2772.0	2074.0	607.0	25.0
NM_001129885	0	0	0	0	0	0	0
NM_033070	247.0	30	6.0	277.0	241.0	0	5.0
NM_001001959	0	0	0	0	0	0	0
NM_053278	0	0	0	0	0	0	0
NM_002027	304.0	20	7.0	324.0	279.0	1.0	4.0
NM_020547	68.0	7	11.0	75.0	74.0	0	1.0
NM_172175	1.0	4	3.0	5.0	2.0	3	0
NM_002199	438.0	76	10.0	514.0	389.0	103.0	3.0
NM_004101	18.0	1	0	19.0	15.0	2.0	1.0
NM_001321601	0	0	0	0	0	0	0
NM_001347830	0	0	0	0	0	0	0
NM_001322828	22.0	3	0	25.0	9.0	16.0	0
NM_005171	462.0	58	2.0	520.0	302.0	140.0	0
NM_015634	354.0	32	0	386.0	309.0	5.0	3.0
NM_032627	149.0	15	3.0	164.0	81.0	80.0	2.0
NM_001278419	0	0	1.0	0	0	0	0
NM_001005496	0	0	0	0	0	0	0
NM_006340	59.0	8	2.0	67.0	55.0	2.0	5.0
NM_001289125	325.0	47	17.0	372.0	212.0	145.0	1.0
NM_006065	12.0	0	0	12.0	9.0	0	0
NM_001009812	0	0	0	0	0	0	0
NM_004778	132.0	3	0	135.0	114.0	14.0	0
NM_006646	8.0	1	12.0	9.0	6.0	3.0	0
NM_014010	13.0	3	352.0	16.0	15.0	0	1.0
NM_032935	0	0	0	0	0	0	0
NM_001098816	0	0	1.0	0	0	0	0
NM_001099402	747.0	98	17.0	845.0	603.0	211.0	7.0
NM_001126128	2.0	0	0	2.0	2.0	0	0
NM_001031803	73.0	16	2.0	89.0	75.0	7.0	3.0
NM_013309	0	0	0	0	0	0	0
NM_003988	0	0	2.0	0	0	0	0
NM_003460	0	0	0	0	0	0	0
NM_015939	425.0	48	1.0	473.0	352.0	55.0	9.0
NM_001080505	0	0	0	0	0	0	0
NM_001330513	151.0	2	10.0	153.0	41.0	106.0	3.0
NM_001001413	0	0	0	0	0	0	0
NM_012163	2.0	0	0	2.0	0	2.0	0
NM_016577	865.0	252	3.0	1117.0	889.0	146.0	24.0
NM_001080779	269.0	51	3.0	320.0	319.0	0	1.0
NM_021211	266.0	0	3.0	266.0	162.0	104.0	0
NM_152791	45.0	0	0	45.0	41.0	4.0	0
NM_198956	8.0	0	0	8.0	8.0	0	0
NM_004488	30.0	0	1.0	30.0	28.0	0	0
NM_015950	1042.0	81	1.0	1123.0	951.0	20.0	25.0
NM_001265589	588.0	2	3.0	590.0	292.0	104.0	7.0
NM_001289088	342.0	18	7.0	360.0	336.0	14.0	2.0
NM_019078	0	0	0	0	0	0	0
NM_033337	2.0	0	0	2.0	0	2.0	0
NM_003041	0	0	0	0	0	0	0
NM_014051	167.0	30	0	197.0	66.0	98.0	2.0
NM_001004741	0	0	0	0	0	0	0
NM_032378	1257.0	18	80.0	1275.0	1246.0	17.0	4.0
NM_001005170	0	0	0	0	0	0	0
NM_002305	921.0	247	2.0	1168.0	830.0	98.0	13.0
NM_004356	1377.0	307	1.0	1684.0	1325.0	144.0	79.0
NM_001258283	0	0	0	0	0	0	0
NM_001136112	1.0	0	0	1.0	1.0	0	0
NM_052955	0	0	0	0	0	0	0
NM_014895	135.0	14	2.0	149.0	129.0	12.0	2.0
NM_001161425	11.0	0	0	11.0	4.0	7.0	0
NM_181501	3.0	0	0	3.0	3.0	0	0
NM_014712	527.0	56	9.0	583.0	529.0	32.0	2.0
NM_018957	145.0	30	0	175.0	159.0	9.0	1.0
NM_001099269	54.0	2	1.0	56.0	44.0	12.0	0
NM_006963	216.0	35	0	251.0	132.0	69.0	1.0
NM_017696	264.0	24	6.0	288.0	271.0	0	6.0
NM_032142	737.0	110	9.0	847.0	773.0	34.0	5.0
NM_018129	937.0	171	5.0	1108.0	935.0	46.0	8.0
NM_015016	161.0	26	16.0	187.0	183.0	0	1.0
NM_003389	20.0	2	0	22.0	19.0	0	1.0
NM_000292	422.0	91	3.0	513.0	445.0	52.0	1.0
NM_000745	71.0	8	0	79.0	70.0	7.0	0
NM_000609	1.0	0	0	1.0	1.0	0	0
NM_016027	283.0	20	0	303.0	224.0	32.0	9.0
NM_032927	148.0	26	2.0	174.0	77.0	96.0	1
NM_144492	0	0	0	0	0	0	0
NM_014912	14.0	6	1.0	20.0	15.0	5.0	0
NM_001454	2.0	0	1.0	2.0	2.0	0	0
NM_003146	4275.0	825	13.0	5100.0	4092.0	793.0	14.0
NM_032756	410.0	0	0	410.0	277.0	123.0	0
NM_001350065	520.0	30	210.0	550.0	522.0	24.0	1.0
NM_001190158	0	0	0	0	0	0	0
NM_182491	85.0	7	0	92.0	8.0	81.0	0
NM_002074	2053.0	315	16.0	2368.0	1628.0	630.0	36.0
NM_021123	0	0	0	0	0	0	0
NM_178155	290.0	25	84.0	315.0	263.0	44.0	6.0
NM_199352	0	0	0	0	0	0	0
NM_001005187	0	0	0	0	0	0	0
NM_001282931	54.0	1	1.0	55.0	16.0	37.0	1.0
NM_004048	3562.0	821	3.0	4383.0	3416.0	191.0	8.0
NM_002825	0	0	0	0	0	0	0
NM_013234	3004.0	470	2.0	3474.0	2355.0	616.0	62.0
NM_001935	26.0	9	0	35.0	31.0	2.0	1.0
NM_001282468	0	0	0	0	0	0	0
NM_001172288	0	0	0	0	0	0	0
NM_020844	0	0	1.0	0	0	0	0
NM_001282748	174.0	26	3.0	200.0	127.0	68.0	2.0
NM_004824	588.0	50	10.0	638.0	513.0	114.0	4.0
NM_001348223	0	0	0	0	0	0	0
NM_138290	0	0	0	0	0	0	0
NM_018004	43.0	0	3.0	43.0	25.0	16.0	2.0
NM_031490	1062.0	123	10.0	1185.0	1054.0	52.0	28.0
NM_001199860	201.0	48	7.0	249.0	202.0	21.0	13.0
NM_001256134	0	0	0	0	0	0	0
NM_213606	0	0	0	0	0	0	0
NM_003931	276.0	16	0	292.0	213.0	72.0	3.0
NM_003857	1.0	0	0	1.0	1.0	0	0
NM_014264	337.0	34	1.0	371.0	261.0	108.0	2.0
NM_181599	0	0	0	0	0	0	0
NM_018665	15.0	1	0	16.0	13.0	1.0	1.0
NM_004577	99.0	8	8.0	107.0	32.0	68.0	5.0
NM_148842	375.0	111	0	486.0	279.0	199.0	2.0
NM_001288565	391.0	87	1.0	478.0	409.0	22.0	5.0
NM_005092	0	0	0	0	0	0	0
NM_001007530	0	0	0	0	0	0	0
NM_007128	0	0	0	0	0	0	0
NM_002559	0	0	0	0	0	0	0
NM_207123	382.0	33	77.0	415.0	374.0	27.0	7.0
NM_017780	496.0	32	3.0	528.0	447.0	73.0	4.0
NM_001304958	45.0	2	3.0	47.0	38.0	6.0	0
NM_001203	1.0	0	0	1.0	0	1.0	0
NM_006495	185.0	2	1.0	187.0	158.0	21.0	0
NM_138433	2.0	0	0	2.0	2.0	0	0
NM_003151	20.0	5	2.0	25.0	21.0	1	1.0
NM_203374	55.0	1	0	56.0	40.0	0	1.0
NM_001823	151.0	25	13.0	176.0	169.0	1	2.0
NM_001242844	101.0	2	1.0	103.0	55.0	46.0	1.0
NM_014819	1422.0	195	10.0	1617.0	1259.0	253.0	3.0
NM_018425	455.0	54	11.0	509.0	438.0	4.0	18.0
NM_001190986	2.0	2	2.0	4.0	4.0	0	0
NM_001291535	0	0	0	0	0	0	0
NM_032361	127.0	146	0	273.0	269.0	0	0
NM_201553	0	0	0	0	0	0	0
NM_002276	9.0	2	0	11.0	10.0	1.0	0
NM_001144927	168.0	15	1.0	183.0	127.0	33.0	2.0
NM_014278	744.0	124	36.0	868.0	707.0	129.0	14.0
NM_001184889	574.0	5	8.0	579.0	224.0	342.0	1.0
NM_021005	0	0	0	0	0	0	0
NM_001002036	1.0	0	0	1.0	1.0	0	0
NM_002168	4145.0	637	1.0	4782.0	4205.0	139.0	22.0
NM_001098817	184.0	13	5.0	197.0	136.0	15.0	5.0
NM_001288780	0	0	0	0	0	0	0
NM_001258329	4.0	1	0	5.0	4.0	1.0	0
NM_001142883	0	0	0	0	0	0	0
NM_000593	215.0	22	0	237.0	234.0	1.0	0
NM_001198784	11.0	1	0	12.0	3.0	6.0	0
NM_002147	4.0	0	0	4.0	4.0	0	0
NM_182492	1.0	0	0	1.0	0	1.0	0
NM_001005183	0	0	0	0	0	0	0
NM_174983	301.0	54	0	355.0	282.0	62.0	1.0
NM_052959	0	0	0	0	0	0	0
NM_003320	0	0	0	0	0	0	0
NM_144607	95.0	3	4.0	98.0	71.0	21.0	1.0
NM_000883	121.0	0	53.0	121.0	108.0	0	0
NM_001004725	0	0	0	0	0	0	0
NM_001319086	1236.0	199	789.0	1435.0	1235.0	22.0	62.0
NM_003462	0	0	0	0	0	0	0
NM_001329964	1.0	0	1.0	1.0	1.0	0	0
NM_001214909	96.0	1	5.0	97.0	77.0	15.0	1.0
NM_001080493	51.0	3	0	54.0	38.0	13.0	0
NM_001204268	0	0	0	0	0	0	0
NM_002739	0	0	0	0	0	0	0
NM_021156	544.0	114	0	658.0	556.0	50.0	25.0
NM_032656	655.0	85	1.0	740.0	653.0	49.0	5.0
NM_001289933	0	0	0	0	0	0	0
NM_016231	63.0	13	1.0	76.0	72.0	1.0	3.0
