AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_000597	124.0	7	0	131.0	83.0	24.0	1.0
NM_018131	215.0	9	0	224.0	99.0	101.0	3.0
NM_018090	1602.0	184	5.0	1786.0	766.0	175.0	31.0
NM_024514	14.0	2	59.0	16.0	16.0	0	0
NM_001317906	2167.0	168	4.0	2335.0	1269.0	1053.0	12.0
NM_003495	9569.0	0	0	9569.0	7603.0	0	18.0
NM_001184879	298.0	21	11.0	319.0	148.0	19.0	0
NM_004973	2316.0	153	97.0	2469.0	1601.0	743.0	57.0
NM_022897	45.0	11	16.0	56.0	30.0	5.0	1.0
NM_001323565	0	0	0	0	0	0	0
NM_002441	263.0	39	3.0	302.0	151.0	52.0	0
NM_147199	0	0	0	0	0	0	0
NM_014427	4.0	1	0	5.0	3.0	1.0	0
NM_017814	502.0	242	2.0	744.0	476.0	0	33.0
NM_015291	412.0	36	2.0	448.0	240.0	183.0	9.0
NM_015985	1.0	0	0	1.0	0	0	1.0
NM_020982	0	0	0	0	0	0	0
NM_001288708	1.0	0	0	1.0	1.0	0	0
NM_212503	7.0	0	0	7.0	4.0	3.0	0
NM_001005464	0	0	0	0	0	0	0
NM_153022	5.0	0	0	5.0	5.0	0	0
NM_001171162	1362.0	147	90.0	1509.0	1309.0	62.0	15.0
NM_001171192	0	0	0	0	0	0	0
NM_001354571	7.0	1	0	8.0	8.0	0	0
NM_005524	137.0	5	7.0	142.0	55.0	73.0	2.0
NM_004963	0	0	0	0	0	0	0
NM_181515	1616.0	150	7.0	1766.0	252.0	1451.0	3.0
NM_000762	0	0	1.0	0	0	0	0
NM_004322	386.0	15	3.0	401.0	253.0	27.0	9.0
NM_002632	52.0	1	1.0	53.0	3.0	48.0	2.0
NM_021083	1088.0	9	12.0	1097.0	413.0	575.0	7.0
NM_033516	0	0	0	0	0	0	0
NM_015849	21.0	2	1.0	23.0	12.0	0	0
NM_001244963	8.0	1	3.0	9.0	7.0	2.0	0
NM_006181	0	0	0	0	0	0	0
NM_175885	0	0	0	0	0	0	0
NM_001346565	730.0	79	0	809.0	268.0	480.0	3.0
NM_015666	586.0	233	34.0	819.0	504.0	4.0	16.0
NM_006150	288.0	11	2.0	299.0	143.0	101.0	3.0
NM_145651	0	0	0	0	0	0	0
NM_001005214	0	0	0	0	0	0	0
NM_005893	0	0	0	0	0	0	0
NM_001324188	0	0	0	0	0	0	0
NM_006345	1353.0	60	18.0	1413.0	323.0	1031.0	9.0
NM_001297734	88.0	1	0	89.0	11.0	55.0	5.0
NM_014248	3475.0	58	18.0	3533.0	482.0	14.0	30.0
NM_144721	69.0	69	15.0	138.0	43.0	79.0	1.0
NM_017847	449.0	47	2.0	496.0	166.0	283.0	0
NM_002418	0	0	0	0	0	0	0
NM_018384	0	0	0	0	0	0	0
NM_022740	301.0	20	10.0	321.0	161.0	138.0	15.0
NM_002712	2159.0	269	9.0	2428.0	1125.0	4.0	12.0
NM_015694	367.0	44	392.0	411.0	355.0	9.0	2.0
NM_174953	470.0	50	0	520.0	344.0	153.0	2.0
NM_001323551	178.0	7	0	185.0	10.0	174.0	1.0
NM_212471	1536.0	73	694.0	1609.0	1023.0	22.0	30.0
NM_015428	283.0	38	0	321.0	137.0	115.0	16.0
NM_001308068	510.0	36	7.0	546.0	219.0	318.0	6.0
NM_053004	59.0	58	4.0	117.0	49.0	61.0	2.0
NM_032951	6.0	0	0	6.0	4.0	0	0
NM_001100879	0	0	0	0	0	0	0
NM_000275	0	0	0	0	0	0	0
NM_014257	0	0	0	0	0	0	0
NM_198537	4.0	0	3.0	4.0	4.0	0	0
NM_032344	478.0	14	15.0	492.0	187.0	152.0	1.0
NM_138720	41280.0	0	24.0	41280.0	3975.0	4434.0	4.0
NM_001628	755.0	13	0	768.0	231.0	72.0	8.0
NM_001289970	0	0	0	0	0	0	0
NM_001130517	1653.0	20	279.0	1673.0	726.0	104.0	14.0
NM_031966	7878.0	739	2.0	8617.0	4639.0	2633.0	31.0
NM_001354251	160.0	22	1.0	182.0	111.0	60.0	7.0
NM_001097620	0	0	0	0	0	0	0
NM_014517	948.0	55	1.0	1003.0	232.0	721.0	30.0
NM_004622	2297.0	132	7.0	2429.0	838.0	953.0	45.0
NM_001191003	3037.0	82	3570.0	3119.0	1771.0	678.0	66.0
NM_001297707	4.0	0	0	4.0	1.0	3.0	0
NM_001164617	0	0	0	0	0	0	0
NM_152595	40.0	0	0	40.0	18.0	20.0	0
NM_001004486	0	0	0	0	0	0	0
NM_138701	1113.0	18	0	1131.0	442.0	159.0	5.0
NM_007315	1631.0	425	67.0	2056.0	1038.0	865.0	17.0
NM_001017969	117.0	1	2.0	118.0	70.0	40.0	2.0
NM_003338	238.0	35	1.0	273.0	91.0	118.0	3.0
NM_002054	0	0	0	0	0	0	0
NM_173628	0	0	1.0	0	0	0	0
