AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001081675	0	0	0	0	0	0	0
NM_001355	110.0	13	10.0	123.0	46.0	0	77.0
NM_005059	5.0	0	1.0	5.0	0	0	5.0
NM_177987	0	0	0	0	0	0	0
NM_152852	73.0	8	61.0	81.0	51.0	18.0	11.0
NM_001346029	161.0	10	329.0	171.0	42.0	65.0	62.0
NM_024911	1.0	0	15.0	1.0	1.0	0	0
NM_178174	152.0	14	14.0	166.0	123.0	11.0	24.0
NM_001329544	173.0	10	92.0	183.0	95.0	12.0	72.0
NM_006302	645.0	11	19.0	656.0	570.0	37.0	35.0
NM_018968	0	0	2.0	0	0	0	0
NM_001322096	407.0	2	278.0	409.0	114.0	98.0	196.0
NM_002245	0	0	0	0	0	0	0
NM_001031850	0	0	0	0	0	0	0
NM_001127200	0	0	0	0	0	0	0
NM_001318950	0	0	0	0	0	0	0
NM_001322263	59.0	0	7.0	59.0	24.0	9.0	23.0
NM_001005289	1.0	0	0	1.0	1.0	0	0
NM_014886	139.0	0	39.0	139.0	61.0	54.0	23.0
NM_001272051	82.0	1	1.0	83.0	36.0	6.0	39.0
NM_005723	66.0	4	248.0	70.0	19.0	17.0	33.0
NM_139033	40.0	0	10.0	40.0	36.0	0	3.0
NM_004993	396.0	18	136.0	414.0	115.0	8.0	290.0
NM_020207	592.0	36	864.0	628.0	413.0	29.0	180.0
NM_030786	7.0	0	4.0	7.0	3.0	0	4.0
NM_016581	148.0	9	50.0	157.0	127.0	11.0	18.0
NM_002442	0	0	2.0	0	0	0	0
NM_052882	0	0	0	0	0	0	0
NM_003183	400.0	48	467.0	448.0	290.0	29.0	123.0
NM_001005282	0	0	0	0	0	0	0
NM_001113756	146.0	21	12.0	167.0	140.0	22.0	0
NM_016142	891.0	50	1983.0	941.0	369.0	39.0	507.0
NM_004997	0	0	0	0	0	0	0
NM_001080438	0	0	2.0	0	0	0	0
NM_176882	0	0	0	0	0	0	0
NM_006356	244.0	4	25.0	248.0	152.0	65.0	19.0
NM_001010887	29.0	0	42.0	29.0	10.0	5.0	10.0
NM_001318038	36.0	0	30.0	36.0	22.0	5.0	7.0
NM_001348	289.0	23	57.0	312.0	204.0	23.0	84.0
NM_006441	0	1	0	1	1	0	0
NM_152307	119.0	5	17.0	124.0	54.0	10.0	57.0
NM_020775	2.0	0	8.0	2.0	0	0	2.0
NM_001098576	3793.0	366	190.0	4159.0	1454.0	10.0	2695.0
NM_182552	85.0	4	731.0	89.0	60.0	27.0	1.0
NM_206855	1491.0	22	1641.0	1513.0	249.0	212.0	1045.0
NM_001243332	2.0	1	0	3.0	3.0	0	0
NM_001304473	0	0	0	0	0	0	0
NM_001350888	29.0	1	23.0	30.0	14.0	0	15.0
NM_001165258	485.0	54	48.0	539.0	181.0	149.0	180.0
NM_015004	134.0	25	192.0	159.0	123.0	9.0	14.0
NM_012158	748.0	18	244.0	766.0	312.0	109.0	335.0
NM_001004748	0	0	0	0	0	0	0
NM_001040057	32.0	0	395.0	32.0	0	9.0	23.0
NM_024411	0	0	0	0	0	0	0
NM_198392	0	0	0	0	0	0	0
NM_001354429	0	0	6.0	0	0	0	0
NM_018940	0	0	0	0	0	0	0
NM_003794	322.0	40	308.0	362.0	221.0	22.0	107.0
NM_001025591	0	0	0	0	0	0	0
NM_001354680	199.0	27	203.0	226.0	176.0	23.0	23.0
NM_002987	0	0	0	0	0	0	0
NM_017758	930.0	17	112.0	947.0	396.0	163.0	373.0
NM_015322	1150.0	3	118.0	1153.0	464.0	116.0	562.0
NM_002363	0	0	0	0	0	0	0
NM_006408	1.0	0	0	1.0	0	1.0	0
NM_001291986	1196.0	62	240.0	1258.0	582.0	510.0	149.0
NM_001258376	203.0	19	267.0	222.0	165.0	13.0	41.0
NM_001025	3498.0	341	30.0	3839.0	1320.0	1254.0	360.0
NM_001005388	0	0	1.0	0	0	0	0
NM_003312	380.0	23	73.0	403.0	302.0	40.0	34.0
NM_002090	169.0	11	42.0	180.0	44.0	27.0	108.0
NM_001300791	107.0	7	72.0	114.0	52.0	6.0	54.0
NM_001177317	0	0	0	0	0	0	0
NM_198381	0	0	3.0	0	0	0	0
NM_001080468	0	0	0	0	0	0	0
NM_020857	561.0	14	24.0	575.0	455.0	42.0	73.0
NM_014209	6.0	0	0	6.0	6.0	0	0
NM_033238	249.0	13	242.0	262.0	194.0	12.0	53.0
NM_001004137	0	0	0	0	0	0	0
NM_019003	0	0	0	0	0	0	0
NM_001323252	0	0	17.0	0	0	0	0
NM_001560	61.0	4	48.0	65.0	26.0	5.0	34.0
NM_001003665	15.0	0	5.0	15.0	1.0	1.0	12.0
NM_004523	962.0	104	362.0	1066.0	738.0	105.0	214.0
NM_001081550	939.0	195	1167.0	1134.0	1034.0	16.0	77.0
NM_001190766	0	0	1.0	0	0	0	0
NM_033050	1127.0	23	116.0	1150.0	321.0	82.0	725.0
NM_001317968	210.0	23	129.0	233.0	183.0	12.0	26.0
NM_001040261	34.0	2	98.0	36.0	22.0	8.0	6.0
NM_001322288	21.0	0	19.0	21.0	8.0	4.0	9.0
NM_001009894	156.0	6	113.0	162.0	75.0	18.0	66.0
NM_025144	294.0	23	1273.0	317.0	251.0	19.0	40.0
NM_003995	19.0	4	11.0	23.0	19.0	0	3.0
NM_001320687	539.0	26	1911.0	565.0	245.0	15.0	303.0
NM_001303625	481.0	15	2374.0	496.0	434.0	51.0	10.0
NM_203446	222.0	12	534.0	234.0	144.0	0	90.0
NM_001323918	213.0	17	12.0	230.0	99.0	0	128.0
NM_002170	0	0	0	0	0	0	0
NM_181711	30.0	5	13.0	35.0	24.0	1.0	10.0
NM_033084	442.0	160	239.0	602.0	571.0	9.0	14.0
NM_015425	529.0	42	244.0	571.0	325.0	10.0	229.0
NM_017742	189.0	6	243.0	195.0	141.0	0	53.0
NM_001346082	263.0	23	38.0	286.0	158.0	78.0	44.0
NM_001258243	150.0	2	93.0	152.0	50.0	19.0	77.0
NM_001806	586.0	2	75.0	588.0	113.0	70.0	384.0
NM_001301043	4.0	1	31.0	5.0	3.0	0	2.0
NM_006362	138.0	25	99.0	163.0	123.0	21.0	14.0
NM_001267708	98.0	0	144.0	98.0	5.0	23.0	64.0
NM_001001661	27.0	0	159.0	27.0	18.0	3.0	5.0
NM_007067	345.0	20	261.0	365.0	199.0	54.0	101.0
NM_001314059	289.0	7	84.0	296.0	116.0	23.0	155.0
NM_001040663	0	0	0	0	0	0	0
NM_001076785	399.0	21	114.0	420.0	116.0	25.0	274.0
NM_002064	121.0	2	71.0	123.0	41.0	18.0	62.0
NM_001039958	1.0	0	0	1.0	1.0	0	0
NM_020336	670.0	44	690.0	714.0	409.0	42.0	258.0
NM_015355	915.0	95	305.0	1010.0	471.0	18.0	521.0
NM_001170330	462.0	7	7.0	469.0	149.0	0	320.0
NM_003577	0	0	0	0	0	0	0
NM_015453	249.0	15	150.0	264.0	152.0	32.0	71.0
NM_001271938	267.0	20	27.0	287.0	220.0	22.0	41.0
NM_001321892	0	0	6.0	0	0	0	0
NM_001330288	541.0	64	86.0	605.0	471.0	7.0	115.0
NM_000812	0	0	3.0	0	0	0	0
NM_001204410	560.0	24	2438.0	584.0	322.0	34.0	220.0
NM_030895	68.0	1	13.0	69.0	26.0	10.0	31.0
NM_018947	292.0	0	8.0	292.0	40.0	43.0	209.0
NM_001162499	23.0	1	13.0	24.0	18.0	0	6.0
NM_005480	120.0	23	42.0	143.0	115.0	18.0	6.0
NM_001348521	4.0	1	11.0	5.0	3.0	1.0	0
NM_001348143	0	0	3.0	0	0	0	0
NM_001330422	10.0	1	29.0	11.0	4.0	2.0	5.0
NM_001145176	5.0	0	1.0	5.0	2.0	0	3.0
NM_001330376	417.0	11	1009.0	428.0	239.0	118.0	37.0
NM_001286167	306.0	57	253.0	363.0	299.0	11.0	47.0
NM_016134	107.0	15	638.0	122.0	91.0	13.0	14.0
NM_007068	38.0	6	36.0	44.0	32.0	5.0	5.0
NM_001100	3.0	0	0	3.0	3.0	0	0
NM_031219	137.0	2	2.0	139.0	79.0	44.0	11.0
NM_203397	17.0	0	1.0	17.0	8.0	6.0	3.0
NM_001010000	1.0	0	7.0	1.0	0	0	1.0
