"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_017847",112.146754399837,-0.0489331658133038,0.280550956588653,-0.174418103606932,0.861536887760789,0.98098927765856
"NM_001003803",182.964014759728,0.134778247809461,0.238664852970257,0.564717620261656,0.57226584738973,0.931312517295929
"NM_001003800",353.523624813679,-0.0311500160019239,0.362235549732417,-0.0859938126584606,0.93147133579035,0.991793335322225
"NM_016649",208.662674191598,0.138313246702987,0.299477816539106,0.461848053726965,0.644190287846419,0.943076217682246
"NM_016647",148.208706652029,0.173413942209281,0.616636771148698,0.281225431766318,0.77853749972829,0.966413170041445
"NM_016640",657.294899553577,0.124664628812709,0.171036004630986,0.728879448988976,0.46607540688351,0.905575122003816
"NM_001304467",50.6031483400957,0.384039234224898,0.43418583921616,0.884504282586018,0.376424051641496,0.877559240174814
"NM_001080825",171.772693564974,0.454320191066563,0.795992846539262,0.570759138152825,0.568162925114106,0.929474818305976
"NM_002223",1188.12618749671,0.176334814091743,0.222850601517864,0.791269186130544,0.428786925699735,0.900402528495998
"NM_001253384",175.228048552061,0.0864589032370408,0.432330370401704,0.199983413510151,0.841493553194657,0.977908286830885
"NM_001145313",63.7974717457273,0.324600605150885,0.326101130477041,0.995398589008385,0.319542444589786,0.847736360221505
"NM_018476",266.717382716671,-0.240443207913313,0.185795972059967,-1.29412497616314,0.195622255685773,0.732829701263475
"NM_003363",640.533492325637,-0.0204780233882676,0.169863840837758,-0.120555518392091,0.904043102964024,0.988049074971785
"NM_207118",80.8767841939584,-0.391838590556482,0.213534892081472,-1.83500966393342,0.0665042575771845,0.494218012036304
"NM_001282730",260.083677244057,0.00235925976689026,0.191539703279358,0.0123173406165787,0.990172432593821,0.998665309557016
"NM_007100",275.801605938851,0.199759576985136,0.185772309433134,1.0752925319962,0.282243778673384,0.821673159228496
"NM_000485",509.268375092762,0.153199720378373,0.19111142634897,0.801625121559343,0.42276984140474,0.897910554964988
"NM_007108",1059.75161723895,0.0415639788969931,0.211294445708678,0.196711175997022,0.844053563796391,0.977908286830885
"NM_001350532",508.448378111248,0.330228481473636,0.131701564492,2.50739983801555,0.0121623046084736,0.202231962342909
"NM_001350531",66.4785494154827,-0.0674614090413556,0.301847178532636,-0.223495244743729,0.823150083685654,0.974996979504691
"NM_001350530",537.053916064489,-0.572058715551829,0.299916064845235,-1.90739604377987,0.0564693213123094,0.457612305693935
"NM_014177",134.223465609695,0.289327147044562,0.346658043354864,0.834618300630013,0.403932654804056,0.889420622520878
"NM_020992",525.513026732518,-0.0651697211863293,0.33371422240995,-0.19528601662734,0.845169043440989,0.977908286830885
"NM_005802",698.208798809695,-0.272261635491075,0.21421939610655,-1.27094763797978,0.203747277318468,0.743385209606986
"NM_005258",104.833647489063,-0.649538068889301,0.280289560973843,-2.31738230504388,0.0204829153886873,0.272884946311455
"NM_003824",216.670080896739,0.203409458206121,0.191233962967808,1.06366805900666,0.287479098947731,0.829677403218839
"NM_003825",725.718169677822,0.167416728141298,0.329639911742639,0.507877602733996,0.611539182755405,0.942513951191843
"NM_003826",319.875109858945,-0.263575099075194,0.36188849912349,-0.72833234466855,0.466410167220241,0.905575122003816
"NM_003827",1802.45532486303,0.147538977281993,0.210316189047674,0.701510320960358,0.482984595898777,0.908706844429395
"NM_003820",60.6402885814443,-0.497201704228621,0.330055223441231,-1.50641974105025,0.131959456115485,0.649501456425473
"NM_003821",144.662287163283,0.0222427334812295,0.182930339683492,0.121591276327996,0.903222722705683,0.988049074971785
"NM_003795",1093.16909771148,0.272749896120171,0.124709908102993,2.18707479036003,0.0287370646371537,0.32092311102897
"NM_012181",2526.04149534072,-0.219666725541786,0.164762879561438,-1.33322946361759,0.182456513170775,0.720067156085619
