UCSC_ID	RPM
uc008gjn.2	47.5
uc007jhq.1	29.4
uc007cnv.3	15.3
uc009soj.2	66.7
uc008hgw.3	14.9
uc009fnk.2	114.4
uc008clt.1	100.8
uc029uzh.1	27.4
uc007ypu.2	139.1
uc007wmc.1	15.6
uc007cji.1	25.1
uc007gus.1	2.9
uc012flg.2	14.2
uc009mxh.2	9.9
uc009dvr.1	26.3
uc007rwz.1	9.5
uc012bgx.2	47.6
uc008wfq.1	20.5
uc009rog.1	11.1
uc007bpt.2	12.7
uc008omw.2	31.4
uc009nre.1	14.3
uc007whi.1	14.8
uc011zln.1	36.0
uc009fez.1	43.4
uc007wjz.2	15.2
uc007hwm.2	233.1
uc009ous.1	4.2
uc007cee.1	86.5
uc009agi.1	193.2
uc007pfo.1	39.0
uc008uhx.1	49.6
uc008nev.2	7.0
uc009nci.1	12.8
uc007mxb.1	89.1
uc009esu.1	12.9
uc007tav.1	3.4
uc008uib.1	74.8
uc007kfn.2	10.0
uc008zkj.1	10.1
uc007lex.1	26.4
uc009bmn.2	28.8
uc007cgt.3	16.7
uc009aji.1	27.7
uc008zyh.1	49.3
uc033ivj.1	50.9
uc007mum.1	51.2
uc008nth.2	105.9
uc008wrd.2	3.5
uc008lke.1	15.9
uc009gka.1	211.2
uc009eyr.1	52.5
uc008vtg.2	17.0
uc007mbu.2	14.2
uc009lvu.2	64.1
uc007mvh.2	1.0
uc007cdo.1	26.9
uc008qme.1	102.7
uc009mqv.1	33.8
uc008dan.1	17.7
uc008hsd.1	90.0
uc007keb.2	19.0
uc009ric.2	16.6
uc007dyz.1	59.1
uc008lko.2	6.0
uc008wwv.1	25.1
uc007jup.2	60.5
uc009dhv.2	19.6
uc009afz.1	24.9
uc007kzw.1	71.3
uc007xsv.2	35.7
uc008pdm.2	232.1
uc009gtr.1	17.8
uc009qdq.1	24.7
uc008cam.1	21.2
uc008jco.1	37.4
uc009nqa.2	3.2
uc009pwp.2	140.3
uc008ujd.1	16.3
uc009mcd.2	29.0
uc007glg.2	19.5
uc008ktt.1	17.4
uc009qqy.2	4.1
uc008lyi.2	13.1
uc007jks.2	50.9
uc008jeh.1	65.8
uc009rqj.1	27.8
uc008jgm.2	41.7
uc008gaf.2	8.0
uc008vqc.2	1.0
uc007hzk.1	160.9
uc007nzv.2	1.6
uc008mhf.2	84.3
uc008yzk.1	6.5
uc007kfi.2	8.1
uc008uho.1	21.6
uc007hvm.1	12.1
uc008ceo.1	3.3
uc008mjm.3	19.0
uc007fzo.2	18.3
uc009gfg.1	51.8
uc008ghu.1	27.2
uc012cjs.1	17.1
uc007wga.1	0.3
uc008cbs.1	1.9
uc007mui.1	6.2
uc008gli.1	14.1
uc009qbq.1	0.8
uc007pfm.1	19.5
uc008fzm.2	4.3
uc009keq.1	9.7
uc007prj.1	457.4
uc007puu.1	375.1
uc009prp.2	8.0
uc009qug.2	1408.3
uc007prc.1	312.9
uc007pug.1	346.9
uc007pud.1	330.7
uc008ilx.1	18.0
uc007zvz.1	637.2
uc009kfg.1	74.9
uc008ubu.1	2.2
uc007pur.1	829.5
uc007put.1	359.2
uc007dky.1	14.0
uc007ptz.2	871.7
uc007nfe.2	45.6
uc007jvz.2	38.1
uc008stm.2	10.3
uc007pun.1	13.8
uc007wor.1	10.1
uc007prw.2	3.4
uc007fqm.1	100.8
uc009ijd.2	85.8
uc007puz.1	726.1
uc009uia.2	30.6
uc009fqb.2	13.8
uc007puk.1	244.5
uc007dwr.1	254.6
uc007zyu.1	22.9
uc007hyn.1	1210.5
uc007puy.1	389.8
uc007qzu.1	176.2
uc007myi.1	94.8
uc008ooq.2	40.9
uc007mjo.1	694.2
uc007ftc.1	1043.3
uc033jha.1	2.6
uc008wji.2	34.3
uc011ywu.1	18.0
uc008sji.2	43.8
uc008avv.2	32.9
uc007bck.1	57.3
uc008jgj.2	44.3
uc009tfe.2	1.4
uc008vfc.2	129.5
uc008eos.1	68.5
uc008cah.1	110.3
uc009ayd.1	326.1
uc007psb.1	452.3
uc008utr.2	124.3
uc007puq.2	793.2
uc008iyf.1	15.3
uc008gkg.2	3.0
uc009app.1	6.3
uc008lhq.1	21.3
uc012hjh.1	46.5
uc007pue.2	679.2
uc007prh.1	282.0
uc008hdf.1	12.1
uc007mhm.1	155.0
uc008jnp.1	185.8
uc007gby.2	189.9
uc007vlt.2	29.3
uc008uaj.2	128.3
uc009emp.1	6.1
uc009rpb.1	15.6
uc009jix.1	57.0
uc007pui.2	494.9
uc008eaz.1	111.1
uc008qmk.2	22.2
uc007jvv.2	868.2
uc008atl.1	14.5
uc007hnc.1	310.7
uc012hov.1	262.7
uc007yqz.1	93.5
uc007ypy.1	118.6
uc008kdm.1	310.3
uc008kjh.2	53.1
uc008xsw.1	5.2
uc008zlf.1	65.9
uc009gfl.1	317.7
uc007pvi.1	16.4
uc008nnw.2	20.9
uc007cje.1	96.3
uc008gdq.2	845.0
uc007puc.1	1843.2
uc009bit.2	80.7
uc007prg.1	1028.7
uc008qfk.1	139.2
uc008ipu.1	25.4
uc007puj.2	310.7
uc009ulj.2	14.4
uc008evz.1	68.1
uc008syp.1	413.5
uc009mdt.1	29.0
uc007rid.1	67.6
uc008fft.1	19.4
uc008hvq.1	19.3
uc008mqi.2	474.8
uc009nsp.2	21.4
uc008faz.1	2.0
uc007pub.2	899.4
uc007pse.1	300.4
uc008cfv.1	100.9
uc007frb.1	2.6
uc007def.1	116.3
uc009cii.1	51.2
uc009bxc.1	104.9
uc007osq.1	326.6
uc007pul.1	726.9
uc009uij.1	143.6
uc009mgq.4	68.5
uc009enk.1	1.9
uc007wuc.1	35.3
uc009uct.1	14.1
uc007prr.2	6.9
uc009mnj.1	53.2
uc009mnk.1	117.5
uc008dlw.1	388.3
uc011xth.1	22.9
uc007cau.1	16.7
uc009fkv.1	325.8
uc007tht.1	2.9
uc007qet.2	76.8
uc007xxv.1	153.9
uc008qml.2	10.5
uc007pus.1	951.9
uc007zys.1	342.8
uc009nrh.1	686.2
uc009lub.2	8.4
uc012ewz.1	12.0
uc007sjn.2	50.2
uc007prq.2	17.4
uc008gbt.2	117.7
uc007ptx.1	456.8
uc007ftr.1	1024.6
uc008xep.1	149.8
uc008eny.2	70.3
uc008shk.1	128.3
uc009jig.2	18.7
uc007prm.2	243.2
uc012dnf.1	69.6
uc009uig.1	294.5
uc009ufa.1	24.8
uc008srl.1	177.8
uc007ykl.1	162.9
uc007yfm.1	9.0
uc008nnc.2	58.1
uc007jdn.2	302.9
uc009oqb.2	86.8
uc009ubk.1	421.1
uc009tku.1	25.9
uc009nad.2	9.5
uc007ndw.1	275.2
uc008uhd.1	798.2
uc008utc.1	26.7
uc008nuq.1	50.6
uc008emj.1	261.7
uc009hzf.2	46.0
uc008ltz.1	50.4
uc008jrp.1	3.8
uc009hzh.1	4.0
uc009tqd.1	117.3
uc007hoz.1	1.9
uc007ngw.2	56.0
uc007wrv.1	116.6
uc011xxj.1	1340.3
uc009cwh.2	22.1
uc007xwr.1	152.8
uc008wel.2	126.6
uc007rxm.2	108.6
uc012dmi.1	176.0
uc007kxu.1	96.4
uc009joh.1	110.5
uc007jtg.2	106.8
uc007aqw.1	337.7
uc009elh.1	9.9
uc011zuh.1	106.9
uc009fwd.1	16.2
uc008fza.1	3.9
uc012aot.1	203.4
uc009pcy.1	1387.7
uc009kiz.1	406.9
uc009dso.2	326.1
uc008uyw.1	33.5
uc007pea.2	20.6
uc033jfm.1	36.2
uc008llf.2	21.5
uc007prt.2	4.9
uc007xbg.2	11.7
uc007pvj.1	40.4
uc007psd.1	150.3
uc008vfv.1	64.6
uc007pty.1	398.6
uc007lep.1	150.0
uc007swr.2	17.9
uc033jfy.1	30.3
uc009fsf.1	35.3
uc009sxv.1	125.0
uc008eti.1	13.8
uc012dam.1	17.4
uc007nck.2	15.4
uc007pra.1	578.1
uc007csz.1	227.9
uc008iek.1	18.5
uc007prd.1	326.9
uc007enl.2	21.2
uc009kif.1	34.4
uc007zte.2	75.9
uc009gth.2	1969.6
uc009frd.1	74.8
uc007cmz.2	207.3
uc008dcz.2	216.1
uc009bqo.1	2.4
uc007pfy.2	44.4
uc009cuc.2	596.8
uc007jve.2	270.1
uc007mhu.1	23.8
uc007gzs.2	170.3
uc007kuj.1	128.8
uc008rmo.1	848.1
uc007gwm.1	169.4
uc007gci.1	94.1
uc007iel.1	40.5
uc008dlv.1	151.3
uc007yxz.2	66.3
uc009chd.2	55.3
uc007udo.2	94.9
uc007fvt.2	35.9
uc008gcf.1	64.5
uc007ket.2	628.7
uc009fyg.1	79.5
uc009pul.1	41.7
uc009rll.1	9.4
uc008uxf.2	386.6
uc009ahg.1	15.7
uc008tza.2	95.5
uc009gds.2	67.0
uc009cum.1	59.4
uc008zle.1	55.0
uc007fdt.3	25.4
uc007men.2	8.9
uc008ulx.2	80.7
uc009okw.1	13.1
uc007mhv.1	171.6
uc007mkn.2	12.9
uc007kzg.1	34.9
uc007psa.1	182.5
uc007rfx.2	13.7
uc007prk.1	126.2
uc008pva.1	118.0
uc009aes.1	159.3
uc009aok.1	184.4
uc009seb.2	101.2
uc009kjc.1	95.0
uc007siy.2	8.1
uc007hey.1	50.2
uc007wxv.3	16.9
uc009mvo.1	106.2
uc007prb.1	271.1
uc007qok.1	59.8
uc007wxt.3	150.7
uc008hxx.1	13.5
uc009twe.1	46.8
uc007nzj.1	53.6
uc007nyq.1	14.4
uc007ogc.2	92.0
uc007hvd.1	17.8
uc007haz.1	28.3
uc008qdb.1	70.5
uc009axl.2	75.4
uc008lin.2	18.2
uc007yod.2	14.2
uc009sar.1	7.8
uc009lhc.2	272.0
uc009imd.1	152.5
uc009ftp.1	4.6
uc008phd.1	51.2
uc009lko.2	26.4
uc008oml.1	93.4
uc008kiy.2	68.2
uc007emz.1	57.6
uc008uaz.1	28.3
uc009plo.1	26.1
uc008loy.1	62.8
uc008pzt.2	17.4
uc009hgi.1	21.2
uc009puz.1	401.1
uc009bgo.1	135.2
uc008lsx.2	8.1
uc008vbl.2	355.8
uc009ahn.1	38.3
uc007dkv.1	105.3
uc009qra.1	155.8
uc008vxz.2	199.2
uc008zsr.1	1052.5
uc009jqa.2	35.3
uc008ddm.2	112.8
uc009pek.1	48.6
uc007mhl.1	77.9
uc033jrp.1	2.9
uc007ced.1	73.8
uc008jlb.1	97.4
uc007has.1	61.2
uc009cuv.1	104.2
uc012fwy.1	33.5
uc009gxw.2	8.9
uc007ltc.1	85.6
uc008fwe.1	114.6
uc008owq.1	205.7
uc007ivf.2	491.1
uc008lxg.1	23.8
uc007whs.1	45.1
uc009bms.1	142.2
uc009evf.1	16.7
uc007dty.3	1.0
uc007fzh.1	18.3
uc009jjy.1	38.0
uc008gho.1	38.3
uc012glt.1	31.9
uc009mfk.1	99.1
uc007mcq.1	9.0
uc007eki.2	200.0
uc008ooo.1	253.5
uc029svr.1	44.4
uc007lcl.1	270.4
uc007fxj.1	20.1
uc008qvm.1	276.2
uc007nrb.1	262.4
uc009lsu.2	73.1
uc008ctm.1	108.6
uc009pjv.2	155.4
uc009gbb.2	254.8
uc008zlb.1	95.7
uc007ela.2	28.0
uc009inn.2	11.5
uc008qmo.1	371.6
uc009upu.1	64.0
uc007cto.1	77.6
uc007fvx.1	72.5
uc007oim.2	32.5
uc007kac.1	7.8
uc007pri.1	662.2
uc009gqr.1	34.7
uc007hor.2	142.0
uc007low.2	768.1
uc009fti.2	140.6
uc007nnu.1	30.2
uc008zxn.1	75.9
uc008zld.1	24.5
uc007jnj.1	30.7
uc007ygu.1	99.7
uc008ukn.2	121.1
uc009fzr.1	26.3
