UCSC_ID	RPKM
uc007tpe.2	8.8
uc009jec.1	9.7
uc012asc.1	6.7
uc007mvv.2	17.3
uc009ahm.1	35.5
uc008wfg.1	5.6
uc033fsl.1	18.0
uc008srq.2	9.6
uc007jda.1	9.4
uc008zkj.1	6.9
uc012gez.3	7.3
uc029qyr.1	9.3
uc009rlc.1	5.0
uc008ggv.1	12.3
uc011xmq.1	16.1
uc009jwl.1	15.7
uc008hmi.2	4.3
uc008isy.2	6.2
uc033fsj.1	15.3
uc009nmy.1	27.2
uc029sdp.1	28.7
uc008toh.1	5.7
uc007hhg.2	20.1
uc033jol.1	6.4
uc009shu.1	26.0
uc009qdq.1	5.7
uc007qqn.1	7.2
uc008ssn.1	5.1
uc011zzy.1	13.7
uc029wnn.1	11.5
uc007svr.2	4.9
uc008veo.1	5.4
uc007lea.1	4.6
uc009fho.2	15.8
uc007bst.2	6.1
uc012ecr.1	9.2
uc009sat.2	12.2
uc011yrx.1	6.3
uc008loo.1	7.5
uc029sla.1	4.7
uc033iet.1	15.3
uc007ins.1	13.5
uc012ayn.1	266.6
uc008nwq.1	9.7
uc011xgs.1	25.4
uc007sfq.2	11.1
uc007kch.1	61.3
uc007jpz.1	9.8
uc009aji.1	18.0
uc008vfb.2	13.5
uc009fma.1	7.7
uc007tyb.2	8.1
uc008ysz.2	23.1
uc009kwd.1	11.6
uc007jgj.1	12.4
uc009jup.1	398.9
uc008ayl.1	14.2
uc007gho.1	6.0
uc009agt.2	10.2
uc009tch.1	77.0
uc008mnk.1	21.5
uc009fdm.1	39.5
uc007ksn.2	11.7
uc008ghl.1	25.0
uc007djd.1	29.7
uc007txz.1	14.9
uc008teq.1	77.4
uc009fkc.1	23.4
uc007dyz.1	29.8
uc008uho.1	22.5
uc012gyw.1	16.0
uc007wxp.1	161.0
uc008poj.1	14.3
uc007kic.2	18.5
uc008cdq.1	10.7
uc012hex.1	10.0
uc029suy.1	9.7
uc009iml.2	25.7
uc009ozx.3	4713.2
uc008stg.2	14.4
uc008gaz.1	203.0
uc007fee.1	62.9
uc007whq.1	55.4
uc007gat.1	259.0
uc008odh.1	90.0
uc007vmi.1	1729.7
uc008tkj.2	8.5
uc009dtj.1	8.0
uc012eyt.1	37.3
uc008bdg.1	17.1
uc007ktd.1	8.0
uc009bki.1	92.2
uc007bzc.1	6.2
uc012arv.1	45.7
uc007wwc.2	10.3
uc007nyw.2	82.7
uc009gex.1	22.7
uc007moj.1	38.3
uc007xui.1	45.9
uc008lhq.1	32.2
uc009rca.1	8.7
uc009agj.1	20.6
uc008fzm.2	6.8
uc012bol.1	29.3
uc009oth.2	8.7
uc008tza.2	64.6
uc008khh.3	30.8
uc007wyn.1	110.7
uc007nsr.1	6.9
uc008zzl.1	10.6
uc008dbh.2	26.0
uc009per.2	1400.2
uc009afo.2	7.8
uc008hqi.1	14.2
uc007ghy.1	8.1
uc008vhn.1	60.0
uc009edo.1	16.5
uc009ipc.1	49.8
uc009kpj.1	518.4
uc012arq.1	9.0
uc007lex.1	10.0
uc007gds.1	6.8
uc008asu.1	52.1
uc009hxm.2	77.7
uc009fru.1	7.7
uc007kjz.1	23.6
uc007vlt.2	102.3
uc012fax.1	17.8
uc008roz.1	32.3
uc007yqi.1	11.2
uc008bco.2	23.5
uc009ged.1	17.7
uc008bff.1	66.4
uc009rls.1	9.4
uc009ngx.2	26.0
uc007hvm.1	40.7
uc008ree.2	4.9
uc008bcz.1	10.9
uc008new.2	42.7
uc008ipq.2	20.0
uc007yjo.2	26.7
uc008bee.2	46.9
uc007oix.1	13.5
uc007hug.1	20.1
uc009puy.1	75.7
uc033fsm.1	134.7
uc008fon.2	8.9
uc008mqy.2	10.1
uc008mly.3	8.9
uc011zuw.1	20.4
uc007hmm.1	6.5
uc012gvu.1	56.3
uc008frj.2	9.9
uc009gka.1	23.6
uc009eyr.1	28.4
uc029vqe.1	21.1
uc009sku.1	8.6
uc009lzi.1	37.9
uc009odf.2	100.5
uc008vyy.1	25.7
uc011xmp.1	16.7
uc007mru.2	57.4
uc009aev.2	18.0
uc009suv.1	62.9
uc007sxh.1	19.6
uc009fdn.1	44.2
uc012akr.1	4.6
uc007ykj.2	54.7
uc007baj.1	21.3
uc009ptq.1	224.9
uc008vuw.1	382.4
uc008jgm.2	71.5
uc008mhg.2	106.2
uc007wjp.1	145.8
uc009fdl.1	45.7
uc008jse.2	66.2
uc007oxu.1	115.2
uc009inb.2	41.3
uc012ctt.1	48.4
uc008xog.1	11.1
uc007dml.1	37.6
uc007aqo.1	6.1
uc008hej.2	64.3
uc009frz.2	270.9
uc007mum.1	16.0
uc008cum.1	38.9
uc009ssg.1	16.2
uc007pdo.1	42.7
uc007mip.1	5.3
uc009lpz.2	558.7
uc007kfn.2	17.4
uc007tzb.2	10.0
uc007edw.1	33.6
uc008uuv.1	17.5
uc007oiq.2	22.8
uc009aew.1	25.7
uc007oar.2	8.6
uc009nei.2	60.6
uc008amt.1	7.4
uc007nal.1	20.2
uc007ctq.2	103.5
uc009kbg.1	17.1
uc009gsu.1	16.9
uc007ide.1	10.4
uc008dql.1	59.9
uc009ooc.1	20.2
uc007qnw.1	7.5
uc007igp.1	38.6
uc009drr.1	11.8
uc009mip.2	20.4
uc012bxp.1	6.3
uc009mma.1	9.0
uc007muc.1	102.7
uc009exq.1	12.0
uc009fzw.3	7.2
uc009ijj.2	8.4
uc009fdo.1	43.4
uc008qqr.2	7.5
uc009rtv.1	42.8
uc008crj.1	77.9
uc008zsh.1	11.1
uc008lil.3	49.2
uc008vlu.2	691.4
uc008zgc.1	8.7
uc009mxh.2	6.2
uc007cau.1	16.6
uc008toi.1	11.0
uc007fqx.1	11.3
uc008pzi.1	11.9
uc007yid.1	30.7
uc009tox.2	6.9
uc008eez.1	7.4
uc008byu.2	12.0
uc012dui.1	37.4
uc007vjr.1	14.9
uc008ucm.1	7.0
uc012auw.1	939.5
uc008qot.2	5.3
uc007uvt.2	38.3
uc008gxy.1	88.2
uc007ktz.1	14.4
uc009jwo.1	35.2
uc008vfj.2	21.1
uc007pfo.1	4.6
uc007jks.2	60.6
uc009vdc.1	11.9
uc007knt.2	77.4
uc008gnu.2	36.2
uc033fsn.1	129.9
uc008ewl.2	13.8
uc007log.1	119.3
uc008dwk.1	14.8
uc012gyu.1	6.1
uc011zln.1	24.6
uc009dhg.1	12.5
uc007ukq.2	11.3
uc007rfa.1	217.6
uc029uej.1	9.4
uc008nnc.2	30.1
uc007qzc.1	15.5
uc008wme.1	7.7
uc009aph.2	22.7
uc009mcx.1	7.3
uc008jbk.1	42.4
uc008nmm.2	302.9
uc008nzy.1	8.4
uc007pfz.1	218.4
uc009ctq.2	6.9
uc008lwu.1	8.1
uc007bkg.2	73.2
uc009mav.1	239.7
uc008ctx.2	50.8
uc007hfs.1	17.9
uc007kfo.2	21.8
uc009qyj.2	14.1
uc007rxg.2	24.2
uc009iyj.2	8.8
uc008beb.2	132.9
uc007ybw.2	10.3
uc009nsb.2	32.2
uc008xez.1	15.1
uc008nxu.1	16.5
uc009gku.2	12.9
uc009jvd.1	9.1
uc007pds.3	15.0
uc007byt.1	5.5
uc009rpc.1	107.3
uc007mir.1	15.4
uc007ewr.1	50.8
uc009mcd.2	57.9
uc008ujg.1	13.0
uc008rmn.2	20.7
uc008azq.2	10.1
uc008uha.2	161.8
uc012fgp.1	11.4
uc008qme.1	293.9
uc008rta.1	244.7
uc007xrc.2	16.3
uc007xwp.1	5.5
uc008wyr.2	7.1
uc008ztn.1	1140.1
uc007rby.1	16.1
uc007kqd.1	12.0
uc007cvw.1	19.3
uc007nmv.2	9.2
uc007pdn.2	267.2
uc007qck.2	14.7
uc007tia.2	66.8
uc009jyr.2	11.3
uc009bia.1	53.6
uc007ghu.2	97.1
uc008zdt.1	736.6
uc008gmx.2	24.1
uc009uvo.1	7.4
uc008nge.1	53.2
uc008kiy.2	74.8
uc009sbv.1	58.1
uc007twl.1	722.9
uc008hng.1	29.4
uc009mjd.1	17.7
uc007dfl.1	478.3
uc008eis.2	52.0
uc008jeg.1	20.3
uc009ouy.1	24.9
uc009mpm.1	29.3
uc008lpe.2	25.0
uc012czt.1	118.3
