UCSC_ID	RPM
uc008gjn.2	33.2
uc007jhq.1	35.4
uc007cnv.3	9.2
uc009soj.2	57.7
uc008hgw.3	11.4
uc009fnk.2	53.6
uc008clt.1	50.8
uc029uzh.1	67.8
uc007ypu.2	141.7
uc007wmc.1	17.2
uc007cji.1	25.4
uc007gus.1	1.6
uc012flg.2	12.7
uc009mxh.2	9.0
uc009dvr.1	35.2
uc007rwz.1	15.4
uc012bgx.2	27.5
uc008wfq.1	19.3
uc009rog.1	13.3
uc007bpt.2	13.5
uc008omw.2	16.3
uc009nre.1	9.0
uc007whi.1	18.0
uc011zln.1	26.2
uc009fez.1	28.1
uc007wjz.2	16.9
uc007hwm.2	130.2
uc009ous.1	3.6
uc007cee.1	46.8
uc009agi.1	87.6
uc007pfo.1	27.8
uc008uhx.1	51.9
uc008nev.2	4.1
uc009nci.1	10.0
uc007mxb.1	165.4
uc009esu.1	20.6
uc007tav.1	41.0
uc008uib.1	97.8
uc007kfn.2	11.4
uc008zkj.1	7.1
uc007lex.1	17.3
uc009bmn.2	25.1
uc007cgt.3	19.2
uc009aji.1	27.9
uc008zyh.1	42.0
uc033ivj.1	52.1
uc007mum.1	32.2
uc008nth.2	60.9
uc008wrd.2	2.8
uc008lke.1	15.4
uc009gka.1	112.8
uc009eyr.1	27.2
uc008vtg.2	20.6
uc007mbu.2	16.6
uc009lvu.2	51.4
uc007mvh.2	1.2
uc007cdo.1	22.4
uc008qme.1	82.4
uc009mqv.1	37.4
uc008dan.1	21.8
uc008hsd.1	102.9
uc007keb.2	34.7
uc009ric.2	11.8
uc007dyz.1	62.5
uc008lko.2	10.1
uc008wwv.1	21.0
uc007jup.2	61.1
uc009dhv.2	10.5
uc009afz.1	23.0
uc007kzw.1	91.5
uc007xsv.2	34.5
uc008pdm.2	203.3
uc009gtr.1	21.0
uc009qdq.1	17.5
uc008cam.1	25.9
uc008jco.1	28.7
uc009nqa.2	2.6
uc009pwp.2	149.5
uc008ujd.1	15.2
uc009mcd.2	30.4
uc007glg.2	23.8
uc008ktt.1	14.0
uc009qqy.2	2.0
uc008lyi.2	10.4
uc007jks.2	61.5
uc008jeh.1	71.4
uc009rqj.1	30.8
uc008jgm.2	39.3
uc008gaf.2	19.0
uc008vqc.2	2.4
uc007hzk.1	140.6
uc007nzv.2	4.5
uc008mhf.2	69.1
uc008yzk.1	4.7
uc007kfi.2	4.3
uc008uho.1	11.9
uc007hvm.1	6.8
uc008ceo.1	2.2
uc008mjm.3	11.4
uc007fzo.2	19.1
uc009gfg.1	52.3
uc008ghu.1	20.2
uc012cjs.1	13.1
uc007wga.1	0.9
uc008cbs.1	5.1
uc007mui.1	45.8
uc008gli.1	38.6
uc009qbq.1	1.6
uc007pfm.1	42.9
uc008fzm.2	10.9
uc009keq.1	45.5
uc007prj.1	767.1
uc007puu.1	646.6
uc009prp.2	15.3
uc009qug.2	2031.7
uc007prc.1	515.7
uc007pug.1	528.1
uc007pud.1	536.6
uc008ilx.1	69.8
uc007zvz.1	896.2
uc009kfg.1	161.7
uc008ubu.1	3.1
uc007pur.1	1365.3
uc007put.1	548.9
uc007dky.1	23.4
uc007ptz.2	1446.5
uc007nfe.2	137.3
uc007jvz.2	72.0
uc008stm.2	17.5
uc007pun.1	34.4
uc007wor.1	36.1
uc007prw.2	5.0
uc007fqm.1	171.9
uc009ijd.2	146.3
uc007puz.1	1228.8
uc009uia.2	44.9
uc009fqb.2	19.5
uc007puk.1	423.2
uc007dwr.1	430.0
uc007zyu.1	34.5
uc007hyn.1	2141.1
uc007puy.1	574.7
uc007qzu.1	267.7
uc007myi.1	156.4
uc008ooq.2	70.5
uc007mjo.1	1276.3
uc007ftc.1	1638.3
uc033jha.1	3.9
uc008wji.2	47.2
uc011ywu.1	26.2
uc008sji.2	65.8
uc008avv.2	68.6
uc007bck.1	95.0
uc008jgj.2	170.7
uc009tfe.2	2.4
uc008vfc.2	166.5
uc008eos.1	94.1
uc008cah.1	172.9
uc009ayd.1	486.4
uc007psb.1	703.7
uc008utr.2	193.4
uc007puq.2	1233.7
uc008iyf.1	59.6
uc008gkg.2	4.8
uc009app.1	10.1
uc008lhq.1	41.8
uc012hjh.1	71.5
uc007pue.2	963.7
uc007prh.1	427.5
uc008hdf.1	21.2
uc007mhm.1	237.6
uc008jnp.1	338.0
uc007gby.2	276.5
uc007vlt.2	42.4
uc008uaj.2	200.6
uc009emp.1	12.6
uc009rpb.1	24.5
uc009jix.1	101.4
uc007pui.2	684.1
uc008eaz.1	156.1
uc008qmk.2	31.2
uc007jvv.2	1324.0
uc008atl.1	24.0
uc007hnc.1	429.9
uc012hov.1	400.0
uc007yqz.1	134.9
uc007ypy.1	199.9
uc008kdm.1	453.0
uc008kjh.2	71.8
uc008xsw.1	4.5
uc008zlf.1	91.4
uc009gfl.1	423.9
uc007pvi.1	26.4
uc008nnw.2	33.2
uc007cje.1	134.3
uc008gdq.2	1113.4
uc007puc.1	2697.9
uc009bit.2	130.9
uc007prg.1	1435.2
uc008qfk.1	176.5
uc008ipu.1	36.5
uc007puj.2	566.2
uc009ulj.2	23.6
uc008evz.1	91.6
uc008syp.1	523.0
uc009mdt.1	43.3
uc007rid.1	97.5
uc008fft.1	92.4
uc008hvq.1	45.0
uc008mqi.2	674.3
uc009nsp.2	26.6
uc008faz.1	2.4
uc007pub.2	1214.8
uc007pse.1	466.6
uc008cfv.1	151.8
uc007frb.1	2.1
uc007def.1	175.4
uc009cii.1	96.4
uc009bxc.1	150.8
uc007osq.1	441.1
uc007pul.1	1022.8
uc009uij.1	199.7
uc009mgq.4	101.6
uc009enk.1	6.3
uc007wuc.1	50.2
uc009uct.1	24.2
uc007prr.2	7.6
uc009mnj.1	73.1
uc009mnk.1	160.8
uc008dlw.1	569.3
uc011xth.1	22.0
uc007cau.1	49.3
uc009fkv.1	416.3
uc007tht.1	2.2
uc007qet.2	86.4
uc007xxv.1	192.3
uc008qml.2	13.1
uc007pus.1	1184.9
uc007zys.1	462.6
uc009nrh.1	953.3
uc009lub.2	11.3
uc012ewz.1	16.7
uc007sjn.2	95.9
uc007prq.2	24.3
uc008gbt.2	155.5
uc007ptx.1	557.7
uc007ftr.1	1176.1
uc008xep.1	192.0
uc008eny.2	105.4
uc008shk.1	178.7
uc009jig.2	16.2
uc007prm.2	315.2
uc012dnf.1	116.0
uc009uig.1	382.4
uc009ufa.1	28.7
uc008srl.1	234.2
uc007ykl.1	212.5
uc007yfm.1	36.5
uc008nnc.2	99.5
uc007jdn.2	465.0
uc009oqb.2	117.5
uc009ubk.1	558.5
uc009tku.1	30.7
uc009nad.2	17.1
uc007ndw.1	418.1
uc008uhd.1	1250.7
uc008utc.1	33.5
uc008nuq.1	220.5
