UCSC_ID	RPKM
uc007tpe.2	6.4
uc009jec.1	6.8
uc012asc.1	2.9
uc007mvv.2	8.4
uc009ahm.1	14.3
uc008wfg.1	3.6
uc033fsl.1	13.5
uc008srq.2	7.0
uc007jda.1	5.1
uc008zkj.1	5.3
uc012gez.3	2.3
uc029qyr.1	7.0
uc009rlc.1	5.2
uc008ggv.1	8.1
uc011xmq.1	13.4
uc009jwl.1	12.2
uc008hmi.2	2.8
uc008isy.2	0.0
uc033fsj.1	15.7
uc009nmy.1	18.0
uc029sdp.1	25.2
uc008toh.1	1.0
uc007hhg.2	7.7
uc033jol.1	4.1
uc009shu.1	21.9
uc009qdq.1	2.9
uc007qqn.1	7.1
uc008ssn.1	5.0
uc011zzy.1	6.2
uc029wnn.1	9.8
uc007svr.2	3.3
uc008veo.1	4.9
uc007lea.1	3.9
uc009fho.2	11.5
uc007bst.2	4.9
uc012ecr.1	3.5
uc009sat.2	6.8
uc011yrx.1	3.4
uc008loo.1	4.6
uc029sla.1	3.9
uc033iet.1	6.4
uc007ins.1	8.2
uc012ayn.1	147.0
uc008nwq.1	2.4
uc011xgs.1	12.6
uc007sfq.2	3.0
uc007kch.1	31.3
uc007jpz.1	5.7
uc009aji.1	10.1
uc008vfb.2	7.7
uc009fma.1	5.4
uc007tyb.2	4.7
uc008ysz.2	7.8
uc009kwd.1	7.2
uc007jgj.1	7.6
uc009jup.1	216.1
uc008ayl.1	10.4
uc007gho.1	2.5
uc009agt.2	7.2
uc009tch.1	44.8
uc008mnk.1	13.9
uc009fdm.1	38.9
uc007ksn.2	8.7
uc008ghl.1	12.3
uc007djd.1	14.9
uc007txz.1	10.1
uc008teq.1	32.4
uc009fkc.1	11.4
uc007dyz.1	16.6
uc008uho.1	9.0
uc012gyw.1	9.9
uc007wxp.1	88.2
uc008poj.1	6.9
uc007kic.2	10.5
uc008cdq.1	6.2
uc012hex.1	5.9
uc029suy.1	6.1
uc009iml.2	12.9
uc009ozx.3	2652.6
uc008stg.2	8.0
uc008gaz.1	109.0
uc007fee.1	47.8
uc007whq.1	38.1
uc007gat.1	142.1
uc008odh.1	54.0
uc007vmi.1	960.5
uc008tkj.2	6.1
uc009dtj.1	3.8
uc012eyt.1	37.7
uc008bdg.1	14.8
uc007ktd.1	7.0
uc009bki.1	66.1
uc007bzc.1	6.6
uc012arv.1	29.3
uc007wwc.2	6.1
uc007nyw.2	50.6
uc009gex.1	15.2
uc007moj.1	23.6
uc007xui.1	20.4
uc008lhq.1	14.0
uc009rca.1	3.8
uc009agj.1	16.8
uc008fzm.2	6.5
uc012bol.1	14.3
uc009oth.2	6.3
uc008tza.2	38.5
uc008khh.3	16.8
uc007wyn.1	54.5
uc007nsr.1	4.1
uc008zzl.1	5.4
uc008dbh.2	14.4
uc009per.2	864.4
uc009afo.2	5.1
uc008hqi.1	9.0
uc007ghy.1	3.5
uc008vhn.1	35.9
uc009edo.1	10.1
uc009ipc.1	32.5
uc009kpj.1	306.6
uc012arq.1	4.9
uc007lex.1	10.8
uc007gds.1	4.5
uc008asu.1	29.6
uc009hxm.2	42.6
uc009fru.1	3.0
uc007kjz.1	15.3
uc007vlt.2	60.4
uc012fax.1	13.3
uc008roz.1	20.7
uc007yqi.1	5.6
uc008bco.2	11.3
uc009ged.1	4.4
uc008bff.1	39.0
uc009rls.1	7.5
uc009ngx.2	19.9
uc007hvm.1	23.7
uc008ree.2	2.8
uc008bcz.1	7.1
uc008new.2	22.7
uc008ipq.2	13.7
uc007yjo.2	16.5
uc008bee.2	23.8
uc007oix.1	6.2
uc007hug.1	11.4
uc009puy.1	48.8
