UCSC_ID	RPKM
uc009hdl.2	60.3
uc008cis.1	39.6
uc008dtg.2	66.2
uc009fdn.1	6.9
uc007qoj.2	7.2
uc009pxp.1	34.5
uc008kej.2	49.2
uc012cgu.1	7.2
uc009ekl.2	8.7
uc008hdu.1	24.1
uc009oiu.2	16.8
uc009nud.1	10.6
uc008egq.2	20.3
uc007ayr.1	20.4
uc007xrc.2	10.4
uc008jsu.1	5.6
uc008oze.1	32.1
uc007ypp.1	19.2
uc007nqf.2	22.1
uc007zwm.2	17.4
uc007rdo.2	7.5
uc009nmi.2	12.5
uc029wfe.1	6.0
uc009fws.2	13.6
uc009gmj.1	9.5
uc009krs.1	15.7
uc008zkz.1	4.6
uc012czt.1	67.0
uc009abm.1	75.0
uc008nmj.2	19.7
uc012ebo.1	7.2
uc007eye.2	8.2
uc008sun.1	12.2
uc008qom.1	6.3
uc007bnq.1	7.9
uc007xhk.1	7.9
uc008vmm.2	45.7
uc009aos.2	50.8
uc008tuw.1	13.1
uc007gqn.1	6.3
uc008uan.2	15.1
uc008hne.1	6.7
uc007dwz.1	4.5
uc009sqz.1	6.1
uc008lxb.1	12.6
uc008wun.1	19.2
uc009esn.2	9.5
uc033hbx.1	8.2
uc008uxo.1	54.8
uc008vuc.1	53.7
uc008owi.2	35.7
uc007uyv.2	18.7
uc012ead.1	26.8
uc007gkj.1	21.4
uc009nxd.2	19.5
uc009rlk.1	12.5
uc009oqh.2	25.4
uc007htz.2	17.5
uc009fvf.2	21.5
uc008que.1	10.0
uc008pwh.2	9.7
uc007vto.1	9.2
uc008yly.2	19.7
uc009usb.1	13.0
uc008rzd.2	22.7
uc008ifx.1	30.3
uc007kql.1	25.7
uc009kyi.1	44.2
uc009jgh.2	15.6
uc033gxp.1	7.6
uc009ldf.2	23.9
uc008cqy.1	8.6
uc007oxi.1	14.1
uc008swz.2	18.1
uc008izm.1	34.8
uc007hnm.1	7.6
uc007inh.2	11.1
uc008csa.1	79.8
uc008arn.1	8.3
uc009dpq.2	638.3
uc009cyc.1	22.7
uc007qzc.1	8.3
uc007hdo.1	98.7
uc008zkw.2	15.8
uc009kzv.1	47.7
uc008ksw.1	66.4
uc007ncu.1	70.8
uc009frv.1	8.5
uc033jka.1	18.8
uc009hdv.1	8.5
uc008dfy.1	13.9
uc007qzf.1	18.0
uc009kwd.1	10.6
uc009bay.1	45.7
uc008hhw.1	26.3
uc009twt.1	166.4
uc008mjd.2	5.6
uc008mgx.1	7.6
uc008dpc.1	11.3
uc007alj.1	5.6
uc009nip.1	40.0
uc008fea.2	7.0
uc007mqz.1	15.5
uc007nnb.1	11.4
uc008iwd.1	22.5
uc033hub.1	9.5
uc009ftp.1	9.1
uc009fdf.1	5.6
uc009euk.1	154.0
uc011wky.2	23.0
uc007ipc.1	11.0
uc008scu.2	37.3
uc009pcw.1	9.0
uc012axy.1	17.7
uc009jtv.2	38.1
uc007ygn.1	21.3
uc008jpa.1	5.6
uc008rzp.1	21.3
uc007sxm.1	9.2
uc008bxo.1	7.3
uc008fzu.1	17.0
uc007rqy.1	5.7
uc012gbf.1	264.7
uc007bqo.2	45.8
uc009akh.2	141.5
uc008dpn.2	23.1
uc007rrr.1	6.8
uc008xtk.3	6.9
uc007ija.2	19.0
uc007neu.1	9.5
uc009cof.2	23.3
uc008wqy.2	18.5
uc009ryp.1	43.8
uc008jgt.2	15.0
uc008pri.1	6.5
uc009cvi.1	150.3
uc009qqv.1	18.8
uc008ezm.2	20.5
uc008jar.1	76.3
uc007nty.2	59.4
uc008ixs.1	4.8
uc007lgr.1	24.1
uc012aue.1	118.2
uc007yza.2	136.5
uc007men.2	7.9
uc008jvg.2	15.6
uc008xln.2	7.7
uc007dux.1	13.4
uc008yzo.1	10.0
uc012fxh.1	76.2
uc009tmf.2	10.0
uc033gsa.1	32.6
uc008toh.1	12.5
uc007fbd.2	14.5
uc033fsq.1	6.1
uc009kys.1	22.0
uc008jud.1	24.6
uc009lcz.2	27.9
uc009puu.2	5.9
uc008hxf.2	28.6
uc008fmy.1	104.2
uc007diz.2	65.9
uc008xkw.1	38.1
uc008rru.1	26.8
uc008bxm.1	15.7
uc009pxr.2	8.0
uc009fdm.1	6.6
uc008ejn.2	75.8
uc008wdw.2	6.5
uc009nfa.1	14.4
uc008vtg.2	7.5
uc008pft.1	14.2
uc007gth.1	7.8
uc008gqh.2	7.8
uc008htu.1	11.2
uc007xki.2	75.0
uc007gni.1	137.9
uc011zuw.1	11.0
uc008mud.1	12.3
uc009anc.2	9.2
uc007twc.2	14.4
uc007pht.1	20.7
uc007ufv.2	21.8
uc009hha.1	34.5
uc008ntg.2	89.5
uc009nlf.1	36.9
uc007fjh.1	5.3
uc007awi.2	9.9
uc007fcm.3	40.3
uc033hfd.1	35.8
uc007ykr.2	15.4
uc009lxr.2	26.8
uc008jhf.1	9.0
uc007vgh.2	35.0
uc008dun.1	19.8
uc009nad.2	17.6
uc008tzh.1	12.0
uc008iwl.2	75.2
uc007yom.2	64.0
uc009rip.1	28.8
uc007rpz.1	11.1
uc009npv.2	15.6
uc012dbo.1	12.1
uc009qtm.2	18.3
uc008vfb.2	6.9
uc008qrj.2	193.2
uc008pgb.2	12.5
uc007mkl.2	14.5
uc008ewo.2	7.2
uc009mst.2	60.7
uc008csc.1	166.2
uc009pvk.1	14.1
uc029vty.2	39.3
uc007tci.1	7.9
uc008ptn.1	5.4
uc007gxx.2	16.1
uc012bdv.1	25.8
uc007wjr.1	11.8
uc009tud.1	75.7
uc007ssd.2	11.4
uc009uab.2	8.5
uc007grf.2	90.8
uc012gne.1	11.6
uc011ynb.1	9.0
uc008qow.1	17.4
uc009mqf.2	15.0
uc008tyh.2	9.6
uc007vxt.1	19.4
uc007dnj.1	6.2
uc007oiw.1	44.1
uc008xuz.2	18.3
uc007ygj.1	119.3
uc007tym.2	37.0
uc007rxu.2	9.4
uc008plp.1	20.7
uc009ulu.1	14.5
uc007jlt.2	10.2
uc007mvy.2	25.8
uc007zkf.1	9.7
uc009bqq.1	9.4
uc008cap.1	28.4
uc007oyp.2	7.4
uc008mgq.2	27.3
uc009cxo.1	4.6
uc009lhr.2	44.7
uc008hvb.1	26.6
uc008vxi.1	8.6
uc008fux.1	263.2
uc008whf.1	8.3
uc008aky.1	25.0
uc007vsq.1	45.3
uc009epf.2	18.8
uc009ibs.1	16.8
uc008pbo.1	5.4
uc007nnh.2	26.1
uc008rid.1	90.8
uc009fif.2	27.0
uc007kfs.1	24.9
uc008kdq.2	19.7
uc008npj.1	24.3
uc009jjp.1	7.9
uc007axs.2	45.4
uc007gfz.1	5.8
uc009gcv.2	68.8
uc012gzk.1	24.5
uc008bcd.2	5.5
uc007rnm.3	106.0
uc009ifw.2	31.6
uc008lgu.1	5.4
uc009ddo.1	92.0
uc007mcm.1	6.9
uc008qly.2	15.1
uc007vob.2	11.6
uc007ofb.2	20.6
uc008cpv.1	5.6
uc008dkh.1	11.1
uc009tve.1	10.6
uc011xpx.2	75.6
uc009sqx.2	100.7
