UCSC_ID	RPM
uc007jhq.1	53.8
uc007cnv.3	11.7
uc009soj.2	68.6
uc008hgw.3	20.6
uc009fnk.2	74.1
uc008clt.1	53.5
uc029uzh.1	30.3
uc007ypu.2	239.1
uc007wmc.1	11.7
uc007cji.1	31.7
uc007gus.1	11.4
uc012flg.2	11.5
uc009mxh.2	10.9
uc009dvr.1	39.1
uc007rwz.1	7.6
uc012bgx.2	20.3
uc008wfq.1	12.4
uc009rog.1	26.7
uc007bpt.2	22.3
uc008omw.2	5.2
uc009nre.1	1.8
uc007whi.1	32.4
uc011zln.1	40.1
uc009fez.1	33.1
uc007wjz.2	23.3
uc007hwm.2	106.2
uc009ous.1	7.7
uc007cee.1	18.4
uc009agi.1	55.2
uc007pfo.1	16.6
uc008uhx.1	37.4
uc008nev.2	8.9
uc009nci.1	31.3
uc007mxb.1	277.8
uc009esu.1	20.3
uc007tav.1	13.3
uc008uib.1	76.3
uc007kfn.2	13.7
uc008zkj.1	10.5
uc007lex.1	3.9
uc009bmn.2	17.7
uc007cgt.3	18.4
uc009aji.1	35.1
uc008zyh.1	47.3
uc033ivj.1	10.3
uc007mum.1	14.7
uc008nth.2	7.2
uc008wrd.2	6.9
uc008lke.1	37.6
uc009gka.1	34.0
uc009eyr.1	11.2
uc008vtg.2	27.7
uc007mbu.2	27.7
uc009lvu.2	83.7
uc007mvh.2	1.7
uc007cdo.1	24.8
uc008qme.1	160.5
uc009mqv.1	83.2
uc008dan.1	15.4
uc008hsd.1	144.3
uc007keb.2	19.9
uc009ric.2	16.6
uc007dyz.1	59.1
uc008lko.2	7.0
uc008wwv.1	17.0
uc007jup.2	111.8
uc009dhv.2	29.1
uc009afz.1	41.9
uc007kzw.1	69.1
uc007xsv.2	40.1
uc008pdm.2	442.2
uc009gtr.1	27.9
uc009qdq.1	17.3
uc008cam.1	46.0
uc008jco.1	33.7
uc009nqa.2	4.6
uc009pwp.2	187.1
uc008ujd.1	17.6
uc009mcd.2	48.5
uc007glg.2	34.8
uc008ktt.1	20.9
uc009qqy.2	8.1
uc008lyi.2	16.7
uc007jks.2	84.0
uc008jeh.1	120.8
uc009rqj.1	67.1
uc008jgm.2	61.8
uc008gaf.2	17.7
uc008vqc.2	5.8
uc007hzk.1	149.1
uc007nzv.2	8.6
uc008mhf.2	119.7
uc008yzk.1	5.6
uc007kfi.2	0.3
uc008uho.1	11.6
uc007hvm.1	28.9
uc008ceo.1	4.7
uc008mjm.3	9.6
uc007fzo.2	20.0
uc009gfg.1	47.3
uc008ghu.1	29.9
uc012cjs.1	16.8
uc007wga.1	1.3
uc008cbs.1	4.3
uc007mui.1	19.3
uc008gli.1	44.9
uc009qbq.1	1.7
uc007pfm.1	27.4
uc008fzm.2	5.2
uc009keq.1	21.7
uc007prj.1	634.5
uc007puu.1	512.5
uc009prp.2	34.5
uc009qug.2	2141.9
uc007prc.1	441.4
uc007pug.1	533.6
uc007pud.1	388.4
uc008ilx.1	26.4
uc007zvz.1	930.2
uc009kfg.1	122.6
uc008ubu.1	5.5
uc007pur.1	1235.4
uc007put.1	432.3
uc007dky.1	16.7
uc007ptz.2	1268.5
uc007nfe.2	30.7
uc007jvz.2	97.0
uc008stm.2	14.6
uc007pun.1	58.6
uc007wor.1	23.3
uc007prw.2	3.5
uc007fqm.1	322.9
uc009ijd.2	115.5
uc007puz.1	2155.0
uc009uia.2	79.0
uc009fqb.2	22.8
uc007puk.1	284.9
uc007dwr.1	533.1
uc007zyu.1	37.5
uc007hyn.1	2814.2
uc007puy.1	607.2
uc007qzu.1	199.8
uc007myi.1	207.7
uc008ooq.2	71.7
uc007mjo.1	1412.2
uc007ftc.1	1222.4
uc033jha.1	3.8
uc008wji.2	53.5
uc011ywu.1	18.7
uc008sji.2	74.7
uc008avv.2	63.5
uc007bck.1	65.5
uc008jgj.2	51.9
uc009tfe.2	1.7
uc008vfc.2	265.2
uc008eos.1	147.5
uc008cah.1	202.7
uc009ayd.1	314.1
uc007psb.1	563.8
uc008utr.2	331.4
uc007puq.2	2101.6
uc008iyf.1	18.6
uc008gkg.2	4.1
uc009app.1	3.9
uc008lhq.1	30.7
uc012hjh.1	58.9
uc007pue.2	799.3
uc007prh.1	365.9
uc008hdf.1	13.6
uc007mhm.1	287.3
uc008jnp.1	442.5
uc007gby.2	407.7
uc007vlt.2	43.3
uc008uaj.2	248.9
uc009emp.1	10.9
uc009rpb.1	22.5
uc009jix.1	157.9
uc007pui.2	714.9
uc008eaz.1	240.2
uc008qmk.2	21.6
uc007jvv.2	1246.6
uc008atl.1	8.8
uc007hnc.1	474.5
uc012hov.1	396.8
uc007yqz.1	131.1
uc007ypy.1	245.2
uc008kdm.1	651.3
uc008kjh.2	70.7
uc008xsw.1	3.2
uc008zlf.1	137.3
uc009gfl.1	253.5
uc007pvi.1	40.3
uc008nnw.2	19.1
uc007cje.1	97.3
uc008gdq.2	2010.6
uc007puc.1	2012.5
uc009bit.2	130.9
uc007prg.1	919.4
uc008qfk.1	128.3
uc008ipu.1	45.4
uc007puj.2	944.4
uc009ulj.2	33.7
uc008evz.1	112.4
uc008syp.1	557.5
uc009mdt.1	55.7
uc007rid.1	134.8
uc008fft.1	45.8
uc008hvq.1	60.9
uc008mqi.2	972.2
uc009nsp.2	16.7
uc008faz.1	3.2
uc007pub.2	2755.7
uc007pse.1	352.3
uc008cfv.1	228.9
uc007frb.1	4.5
uc007def.1	96.4
uc009cii.1	65.8
uc009bxc.1	174.0
uc007osq.1	675.3
uc007pul.1	859.4
uc009uij.1	162.9
uc009mgq.4	154.1
uc009enk.1	1.1
uc007wuc.1	36.5
uc009uct.1	12.7
uc007prr.2	4.3
uc009mnj.1	107.3
uc009mnk.1	173.0
uc008dlw.1	525.4
uc011xth.1	97.7
uc007cau.1	20.6
uc009fkv.1	364.1
uc007tht.1	3.5
uc007qet.2	75.9
uc007xxv.1	265.4
uc008qml.2	12.0
uc007pus.1	968.8
uc007zys.1	551.0
uc009nrh.1	659.7
uc009lub.2	16.9
uc012ewz.1	43.5
uc007sjn.2	114.9
uc007prq.2	16.7
uc008gbt.2	146.6
uc007ptx.1	673.7
uc007ftr.1	1116.2
uc008xep.1	254.6
uc008eny.2	95.9
uc008shk.1	132.5
uc009jig.2	12.8
uc007prm.2	256.2
uc012dnf.1	68.4
uc009uig.1	499.2
uc009ufa.1	15.5
uc008srl.1	468.1
uc007ykl.1	199.9
uc007yfm.1	34.3
uc008nnc.2	38.3
uc007jdn.2	615.8
uc009oqb.2	168.2
uc009ubk.1	313.1
uc009tku.1	56.7
uc009nad.2	6.7
uc007ndw.1	598.6
uc008uhd.1	2058.0
uc008utc.1	43.4
uc008nuq.1	55.7
uc008emj.1	309.3
uc009hzf.2	80.7
uc008ltz.1	75.9
uc008jrp.1	3.5
uc009hzh.1	13.5
uc009tqd.1	201.6
uc007hoz.1	1.5
uc007ngw.2	100.3
uc007wrv.1	94.0
uc011xxj.1	2630.9
uc009cwh.2	37.8
uc007xwr.1	157.6
uc008wel.2	225.2
uc007rxm.2	132.5
uc012dmi.1	363.2
uc007kxu.1	133.6
uc009joh.1	151.3
uc007jtg.2	101.2
uc007aqw.1	317.2
uc009elh.1	36.9
uc011zuh.1	78.8
uc009fwd.1	32.8
uc008fza.1	3.7
uc012aot.1	331.3
uc009pcy.1	2165.9
uc009kiz.1	372.5
uc009dso.2	480.6
uc008uyw.1	65.9
uc007pea.2	46.2
uc033jfm.1	52.5
