Gene
ACACA
ACP6
ACTL10
ACYP1
ADGRD1
ADGRF3
ALDOA
ANKRD13A
ANKRD40
ANKRD42
ANP32A
ARHGEF28
ART4
ATP11A
AZGP1
BAG3
BBOX1
BEND5
BEST3
BID
BRD2
BRINP2
BRSK1
C10orf88
C15orf62
C17orf53
C1QL4
C8orf46
CAPZA2
CASR
CBLN4
CBWD5
CBWD6
CC2D1A
CCDC188
CCDC36
CCNE2
CD63
CDK3
CENPP
CFL1
CHEK1
CHN2
CHRNA10
CLSPN
CNIH4
COBL
COL5A1
CPEB4
CSRNP1
CST8
DDX19B
DDX21
DHX33
DNAH1
DSCR3
DUSP9
ECD
ECE2
EED
ENC1
ERLIN2
ERVMER34-1
ESR2
ETNPPL
EXT2
F10
FADS2
FAF1
FAM192A
FAM49B
FBN1
FGF9
FLOT1
FTH1
GABRB2
GAS2
GDI1
GDPD2
GLCCI1
GLCE
GLRA3
GOLGA1
GPR132
GRK4
GSDMD
HDHD3
HIF1A
HOTS
HTR1B
ID4
IFT80
IFT88
INTS6
IRF1
ITPR2
KCNJ12
KCNJ15
KCTD10
KDELC1
KDM5B
KIAA1217
KISS1R
KLHL13
LENG9
LGALS2
LGR4
LHFPL6
LINGO3
LMO7
LRFN4
LRP5
LRRC3
LRRC3B
LRRC7
MAGEA2
MAGEA2B
MAGEA9
MAGEA9B
MAN1A2
MAP4K5
MAST2
MCUB
MFSD11
MGAT4B
MLKL
MPST
MSC
MTMR3
MUSTN1
MUTYH
MYCNOS
NAA15
NAGLU
NAP1L4
NCK1
NCKAP1
NCLN
NDE1
NDUFB6
NELL2
NOL4
NPC1
NPY2R
NRBP2
NRSN2
OPN1LW
OPN1MW
OPN1MW2
OPN1MW3
PALMD
PATJ
PCP4L1
PDCD7
PGLYRP2
PGLYRP3
PLEKHG5
PLEKHO2
PLPPR2
PLXDC1
POLE
PPIP5K1
PPP1CC
PPP1R16B
PPP6R3
PRELID2
PRKAR2B
PRPF18
PTCD1
PTGER3
PTGER4
PTGES3
PTPRO
RAB8A
RABGEF1
RAD23B
RAP2C
RARG
RBM11
RCSD1
RIMBP3
RIMBP3C
RNASEH1
RNF150
RORB
RPL4
RPP25
RTL4
RTP2
SAMD9L
SAP25
SH2D6
SHOX
SIAH1
SIX2
SLA2
SLC16A11
SLC25A17
SLC28A3
SLC2A11
SLC7A6
SLIT3
SMG6
SMS
SNX12
SPAST
SPHK1
SPPL2A
SQLE
ST6GALNAC4
STARD8
STAT1
STX7
TADA3
TARS
TBX2
THBS2
TIGD1
TLCD1
TLR10
TMEM206
TMEM216
TMEM225B
TMEM229B
TMEM249
TMEM74
TP53
TRIM34
TRIM36
TRIQK
TTYH3
TUBA1A
TUBGCP3
TULP4
UNC45A
USP10
VDAC2
VPS26B
VSIG10
XAF1
XPO5
XPO6
YIPF4
ZBTB14
ZER1
ZMYM4
ZNF135
ZNF17
ZNF316
ZNF35
ZNF428
ZNF75A
ZNF84
