sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Synonyms","Chromosome"
"HGNC:4787","HIST1H4C","histone cluster 1 H4 family member c","H4FG","H4/g,dJ221C16.1","6p22.2"
"HGNC:4782","HIST1H4D","histone cluster 1 H4 family member d","H4FB","H4/b","6p22.2"
"HGNC:4790","HIST1H4E","histone cluster 1 H4 family member e","H4FJ","H4/j","6p22.2"
"HGNC:4783","HIST1H4F","histone cluster 1 H4 family member f","H4FC","H4/c,H4","6p22.2"
"HGNC:4792","HIST1H4G","histone cluster 1 H4 family member g","H4FL","H4/l","6p22.2"
"HGNC:4788","HIST1H4H","histone cluster 1 H4 family member h","H4FH","H4/h","6p22.2"
"HGNC:4793","HIST1H4I","histone cluster 1 H4 family member i","H4FM","H4/m","6p22.1"
"HGNC:4785","HIST1H4J","histone cluster 1 H4 family member j","H4FE","H4/e,H4F2iv","6p22.1"
"HGNC:4784","HIST1H4K","histone cluster 1 H4 family member k","H4FD","H4/d,H4F2iii,dJ160A22.1","6p22.1"
"HGNC:4791","HIST1H4L","histone cluster 1 H4 family member l","H4FK","H4.k,H4/k","6p22.1"
"HGNC:4786","HIST1H4PS1","histone cluster 1 H4 pseudogene 1","H4FFP","pH4/f,dJ97D16.3","6p22.1"
"HGNC:4736","HIST2H2AA3","histone cluster 2 H2A family member a3","H2AFO,HIST2H2AA","H2A.2,H2A/q","1q21.2"
"HGNC:29668","HIST2H2AA4","histone cluster 2 H2A family member a4","","H2A/r","1q21.2"
"HGNC:20508","HIST2H2AB","histone cluster 2 H2A family member b","","","1q21.2"
"HGNC:4738","HIST2H2AC","histone cluster 2 H2A family member c","H2A,H2AFQ","H2A/q","1q21.2"
"HGNC:20560","HIST2H2BA","histone cluster 2 H2B family member a (pseudogene)","","","1p11.2"
"HGNC:20654","HIST2H2BB","histone cluster 2 H2B family member b (pseudogene)","","","1q21.1"
"HGNC:20516","HIST2H2BC","histone cluster 2 H2B family member c (pseudogene)","","H2B/t","1q21.2"
"HGNC:20517","HIST2H2BD","histone cluster 2 H2B family member d (pseudogene)","H2BFO","H2B/s,H2B/o","1q21.2"
"HGNC:4760","HIST2H2BE","histone cluster 2 H2B family member e","H2B,H2BFQ","H2B/q,H2B.1","1q21.2"
"HGNC:24700","HIST2H2BF","histone cluster 2 H2B family member f","","","1q21.2"
"HGNC:20505","HIST2H3A","histone cluster 2 H3 family member a","","H3/n,H3/o","1q21.2"
"HGNC:20503","HIST2H3C","histone cluster 2 H3 family member c","H3F2,H3FM","MGC9629,H3/m,H3,H3.2,H3/M","1q21.2"
"HGNC:25311","HIST2H3D","histone cluster 2 H3 family member d","","","1q21.2"
"HGNC:32060","HIST2H3PS2","histone cluster 2 H3 pseudogene 2","","p06","1q21.1"
"HGNC:4794","HIST2H4A","histone cluster 2 H4 family member a","H4F2,H4FN,HIST2H4,H4/n","","1q21.2"
"HGNC:29607","HIST2H4B","histone cluster 2 H4 family member b","","H4/o","1q21.2"
"HGNC:20507","HIST3H2A","histone cluster 3 H2A","","MGC3165","1q42.13"
"HGNC:20515","HIST3H2BA","histone cluster 3 H2B family member a (pseudogene)","","","1q42.13"
"HGNC:20514","HIST3H2BB","histone cluster 3 H2B family member b","","","1q42.13"
"HGNC:4778","HIST3H3","histone cluster 3 H3","H3FT","H3t,H3/g,H3.4","1q42.13"
"HGNC:20510","HIST4H4","histone cluster 4 H4","","MGC24116","12p12.3"
"HGNC:24893","H1FNT","H1 histone family member N, testis specific","","HANP1,H1T2","12q13.11"
"HGNC:18463","H1FOO","H1 histone family member O oocyte specific","","","3q22.1"
"HGNC:4722","H1FX","H1 histone family member X","","MGC15959,MGC8350,H1X","3q21.3"
"HGNC:4714","H1F0","H1 histone family member 0","H1FV","H10","22q13.1"
"HGNC:22516","H2AFB1","H2A histone family member B1","","","Xq28"
"HGNC:18298","H2AFB2","H2A histone family member B2","","","Xq28"
"HGNC:14455","H2AFB3","H2A histone family member B3","H2AFB","","Xq28"
"HGNC:14456","H2AFJ","H2A histone family member J","","FLJ10903,MGC921","12p12.3"
"HGNC:20664","H2AFV","H2A histone family member V","H2AV","MGC10170,MGC10831,MGC1947","7p13"
"HGNC:31026","H2AFVP1","H2A histone family member V pseudogene 1","H2AFVP","HsT19970","15q26.1"
"HGNC:4739","H2AFX","H2A histone family member X","H2AX","","11q23.3"
"HGNC:4740","H2AFY","H2A histone family member Y","","macroH2A1.2","5q31.1"
"HGNC:14453","H2AFY2","H2A histone family member Y2","","macroH2A2","10q22.1"
"HGNC:4741","H2AFZ","H2A histone family member Z","H2AZ","H2A.Z","4q23"
"HGNC:4742","H2AFZP1","H2A histone family member Z pseudogene 1","H2AFZP","","21q22.3"
"HGNC:32279","H2AFZP2","H2A histone family member Z pseudogene 2","","","8q13.3"
"HGNC:38013","H2AFZP3","H2A histone family member Z pseudogene 3","","","13q32.3"
"HGNC:38015","H2AFZP4","H2A histone family member Z pseudogene 4","","","11q13.3"
"HGNC:38018","H2AFZP5","H2A histone family member Z pseudogene 5","","","10q22.3"
"HGNC:38019","H2AFZP6","H2A histone family member Z pseudogene 6","","","22q12.2"
"HGNC:27867","H2BFM","H2B histone family member M","","","Xq22.2"
"HGNC:4762","H2BFS","H2B histone family member S","","","21q22.3"
"HGNC:27252","H2BFWT","H2B histone family member W, testis specific","","","Xq22.2"
"HGNC:25757","H2BFXP","H2B histone family member X, pseudogene","","","Xq22.2"
"HGNC:4764","H3F3A","H3 histone family member 3A","H3F3","H3.3A","1q42.12"
"HGNC:31028","H3F3AP1","H3 histone family member 3A pseudogene 1","","HsT18159,p48","15q15.1"
"HGNC:19823","H3F3AP2","H3 histone family member 3A pseudogene 2","","H3F3CP","14q11.2"
"HGNC:4765","H3F3B","H3 histone family member 3B","","H3.3B","17q25.1"
"HGNC:33164","H3F3C","H3 histone family member 3C","","H3.5","12p11.21"
