"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_017847",112.294090079776,-0.497293910436852,0.417293101269228,-1.19171371135611,0.233373519887367,0.703777472186254
"NM_001003803",182.333378063801,0.36180955138165,0.344780615960306,1.04939064040452,0.29399836415769,0.756548890790106
"NM_001003800",354.785989070897,0.0137729630995679,0.525068821887296,0.0262307768533326,0.97907326794412,0.995519904667029
"NM_016649",208.700788094935,-0.342433931979853,0.441216145596894,-0.776113783226577,0.437681806132845,0.854523509310089
"NM_016647",148.352947598746,0.362298099904307,0.887372910519092,0.408281676857108,0.683066889884805,0.948708327995706
"NM_016640",657.000988705469,0.180602691283028,0.249242342690274,0.724606779625152,0.468693298551688,0.871477791468326
"NM_001304467",50.6280955173752,0.539121951712913,0.619646107619063,0.870048153428162,0.38427408944647,0.825572975042477
"NM_001080825",170.759319909529,0.310363243309654,1.11304237884899,0.278842251838251,0.780365887634621,0.96396058871318
"NM_002223",1195.0406538132,-0.771251652898398,0.333255529052632,-2.31429514490244,0.020651537937679,0.242690816778601
"NM_001253384",175.525277661876,1.4087143461048,0.616923902050708,2.28344912787804,0.0224039262157797,0.254971089613356
"NM_001145313",63.740470821701,-0.321143635954723,0.425548231738172,-0.754658607422703,0.450453848622967,0.860883054278759
"NM_018476",266.171404496893,0.111562047588478,0.281178555238786,0.396765846861029,0.691540138152733,0.950921695067624
"NM_003363",640.362296497441,-1.14459842224685,0.252392237199658,-4.53499852034435,5.76038892592543e-06,0.000836827409420804
"NM_207118",80.8372427066867,0.0753989095863041,0.463881108609457,0.162539297649611,0.870881184649704,0.980186035406556
"NM_001282730",259.973567698763,-0.248415999163064,0.283857729276481,-0.875142627950441,0.38149630525398,0.823132886897826
"NM_007100",275.67567054392,0.114337784206175,0.281538912581041,0.406117162128566,0.684656516242352,0.949217460525261
"NM_000485",509.606123928397,0.738450128865363,0.288225062126508,2.56206078478089,0.010405310553629,0.164361312716937
"NM_007108",1057.08698589165,0.83954509587897,0.304685285324751,2.75545008674815,0.00586114465213125,0.116204828214711
"NM_001350532",510.422739354193,-0.0777973699742015,0.221337650857809,-0.351487285026712,0.725222809824201,0.956136529686148
"NM_001350531",66.4882992414204,0.365142145015409,0.421179747316387,0.866950862053482,0.385968933666656,0.82619543421096
"NM_001350530",536.506369851102,-0.265356613565478,0.428164926806623,-0.619753270181618,0.535420238359011,0.906871863624442
"NM_014177",134.110077755049,0.0420403664714442,0.494861407871741,0.0849538189939844,0.93229810502444,0.988985309000838
"NM_020992",527.797853785508,0.440171578971069,0.581400120691033,0.757088901956016,0.448996602507205,0.859071564662972
"NM_005802",697.001399583635,0.0240260342292275,0.298761663532638,0.0804187322601476,0.935904228965521,0.988985309000838
"NM_005258",104.661615838024,0.182324639333185,0.417762764406733,0.436431043805701,0.662524019530279,0.944514818709352
"NM_003824",216.714382438258,0.209440607348834,0.295021678191698,0.709915992047013,0.477756232793228,0.876460200640284
"NM_003825",726.022827627047,0.29812045322187,0.473610031267038,0.629463975719255,0.529045345873931,0.904603220881469
"NM_003826",318.716841911353,-0.0462159206922602,0.508701565173632,-0.0908507538727262,0.927611181006835,0.986733895984634
"NM_003827",1794.62390249599,0.226933115849036,0.301428378666612,0.752859159621562,0.451534552106299,0.86165776721503
"NM_003820",60.860734125532,0.325589104647766,0.495492909885298,0.657101440105646,0.511115692993981,0.891582485899252
"NM_003821",144.747742370785,0.518906069336814,0.275314977212149,1.88477239629779,0.059460573264155,0.394210839461371
"NM_003795",1089.04558241514,0.422972881791824,0.180313081089197,2.34576925443689,0.0189878584540586,0.231828517547475
