Gene
AAGAB
AAK1
ABCC1
ABHD2
ABR
ACAN
ACO2
ACOT13
ACP7
ACSL6
ACSS1
ACTB
ACTR3
ADAMTSL2
ADAT2
ADGRD1
ADGRG2
ADGRL3
AFAP1L2
AGAP2
AGFG2
AGO2
AHNAK2
AIG1
AKTIP
AMER1
AMIGO1
AMZ1
ANK1
ANKFY1
ANKRD17
ANKRD29
ANKRD33B
ANKRD54
ANKS6
ANPEP
AP3S2
AP5Z1
AR
ARFGEF2
ARHGAP1
ARHGAP33
ARHGAP35
ARHGEF10
ARL10
ARL17B
ARPP19
ARRDC3
ARSB
ASAP3
ATG3
ATG7
ATMIN
ATP7A
ATP8A1
ATXN7L1
AVPR1A
B3GALT5
B3GAT1
B3GLCT
B3GNT7
B3GNTL1
B9D1
BACE2
BAG4
BCL7A
BDH1
BDNF
BMP8A
BMP8B
BNIP2
BOD1L1
BRWD3
BTBD2
C11orf1
C14orf119
C14orf180
C15orf38-AP3S2
C17orf102
C17orf107
C17orf51
C17orf75
C1GALT1
C1QTNF2
C1RL
C1orf106
C21orf59
C2orf71
C3orf18
C5orf49
C6orf120
CACNA1E
CACNA2D4
CACUL1
CALHM5
CALM1
CAMK2B
CANX
CAPN12
CASD1
CASK
CCDC125
CCDC144A
CCDC57
CCDC73
CCDC85C
CCKAR
CCNG2
CCNK
CCT5
CD247
CD300LG
CD84
CD99L2
CDC42BPA
CDHR3
CDK8
CDKN1B
CDS2
CELF1
CEP135
CEP164
CFAP47
CFAP77
CHCHD7
CHKA
CHMP4A
CHRND
CHSY3
CLIP2
CLSTN1
CNIH2
CNN1
COG3
COL4A5
COL5A1
COL5A2
COL6A1
COLGALT2
COMTD1
CPA4
CPEB1
CPEB2
CPNE3
CPTP
CRIM1
CRIPT
CRTC1
CRTC3
CSNK1G1
CXorf38
CXorf40A
CYBRD1
CYGB
CYP2W1
DAP
DCC
DCUN1D5
DDX52
DENR
DEPP1
DGAT1
DGKD
DHH
DIAPH3
DIRAS2
DLG2
DNAL4
DNM1L
DSC3
DVL3
ECT2
EEF1G
EID1
EIF4E
EIF5A2
ELAC2
ELL2
ELL3
ELOVL6
ELP6
ENPP5
EOGT
EPB41L5
EPHA5
ERC1
ERC2
ERCC6L
ERFE
ERGIC1
ERO1A
ESF1
ETV5
EXPH5
FAM107A
FAM122C
FAM129B
FAM198A
FAM204A
FAM219B
FAM241A
FAM32A
FAM46B
FAM49A
FAM69A
FAN1
FARP2
FBXL18
FBXO32
FBXO41
FER
FJX1
FKTN
FLYWCH1
FMN1
FNDC3A
FOXI2
FOXL1
FOXN2
FOXN4
FRS2
FUOM
FXYD6
FZD4
GABRR2
GADD45A
GALNT14
GBP3
GBP6
GCLC
GDAP1
GDF7
GGA2
GGA3
GGCX
GHDC
GIMAP8
GINS1
GIT1
GIT2
GJB4
GJB5
GJC1
GLRX5
GNAZ
GNB1
GOLGA6C
GOLGA8F
GOLGA8G
GOLGB1
GPATCH11
GPC1
GPD2
GPR146
GPR4
GPR45
GPR55
GRAMD2A
GRIK3
GRIK5
GRIN2B
GSG1L
GTF2A1L
H2AFJ
HAND1
HBEGF
HEG1
HNRNPH1
HNRNPU
HOXA6
HOXB3
HSDL2
HSPA12A
HTR2A
IGF1
IGF1R
IL1A
IL1R1
IL22RA2
IL6ST
INSM1
INTS3
INVS
IQCG
IRAK1
ISL1
ITGB8
ITPA
ITPRIP
ITSN2
JDP2
JMJD8
KANK1
KATNAL1
KAZN
KCNAB2
KCNB1
KCNC1
KCNJ1
KCNJ11
KCNQ2
KCNS1
KCTD15
KIAA0141
KIAA0825
KIAA0930
KIAA1147
KIAA1549L
KIF27
KIF6
KIF9
KLF16
KLHL12
KLHL25
KLHL6
KLLN
KPNA3
KRTAP4-7
L3MBTL3
LAMC1
LIFR
LILRB4
LINGO1
LINGO2
LMLN
LMTK2
LOC100130705
LOC110117498-PIK3R3
LOC388813
LOC644090
LPAR3
LPP
LRP2
LRRC27
LRRC32
LRRC47
LRRK1
LSAMP
LSG1
LSM6
LUZP4
LYPD1
LZTS1
MAGEB6
MAL2
MAP2K3
MAP3K3
MAP4K2
MAP4K5
MAP7D3
MAPK12
MBNL3
MC2R
METTL4
MGAT4A
MIGA2
MINDY2
MLXIPL
MNX1
MOB1B
MPP2
MPP6
MRGPRF
MRO
MROH9
MRPL17
MRPL45
MRPS33
MRRF
MSTN
MTHFS
MTX3
MYOM1
MYOZ3
MYRF
MYSM1
NACC2
NCAPH
NDOR1
NDUFC2
NEB
NECAP1
NEDD4
NELFA
NELFB
NEXMIF
NKAPD1
NPR3
NPTX2
NR0B2
NRXN3
NSL1
NUDT15
NUDT16L1
NUP62
NUS1
ODR4
OGFOD3
ONECUT2
OPA3
ORAI2
ORMDL1
ORMDL3
OTUB2
OTUD4
OVOL1
OXTR
P3H2
PACSIN1
PAQR3
PARM1
PARVA
PAX3
PAX5
PBX1
PCDH19
PCDHA9
PCNX1
PCTP
PDGFB
PDS5B
PDYN
PDZD7
PDZD8
PEAK1
PFKFB2
PFKFB3
PHACTR4
PHF21A
PHRF1
PI15
PIK3R3
PIK3R5
PKIG
PLAUR
PLCH2
PLEKHA8
PLIN4
PLP1
PLPBP
PLPPR2
PLPPR4
PLSCR2
POGK
POLD3
POLR2L
POTEM
POU3F3
POU4F1
PPAN-P2RY11
PPARA
PPM1F
PPM1M
PPP1R14C
PPP1R16B
PPP6R3
PRDM11
PRELP
PRIM1
PRKACB
PRKAR1B
PRKCA
PRKCB
PRKX
PRR18
PRR29
PRRC1
PRRG2
PRSS36
PSAPL1
PSD2
PSD3
PSMD12
PSMD3
PSMF1
PSTPIP2
PTBP3
PTGER4
PTGIS
PTGS1
PTK2
PTPN22
PTPRF
PTPRZ1
PUM2
QKI
RAB11FIP3
RAB11FIP4
RAB2A
RAB3IP
RAB6B
RABGAP1
RABL6
RAD23A
RALGAPB
RAP1A
RAP2A
RASGRP3
RASSF5
RBBP4
RBM33
RBPMS2
RCBTB1
REELD1
RGS4
RGS5
RIMS3
RMND5A
RNASEH2C
RNF24
RNF40
RPL13
RPL27A
RPL28
RPL34
RPS6KA1
RPS6KA6
RPTN
RPTOR
RRAGD
RSL1D1
RTL10
RTL6
RUNX3
SAG
SAMHD1
SAPCD2
SBF1
SCAMP4
SCARF1
SCFD2
SCN1B
SEMA4G
SENP5
SERPINE1
SERTAD1
SEZ6
SFRP1
SFXN2
SGCD
SGMS1
SH3BGRL2
SH3BP2
SH3RF1
SH3RF3
SHANK2
SHC3
SHMT2
SHPK
SIAH3
SIM2
SIPA1L3
SIRT2
SKA1
SLBP
SLC10A7
SLC11A2
SLC12A6
SLC16A6
SLC17A5
SLC18A2
SLC24A4
SLC25A42
SLC25A44
SLC30A8
SLC35A5
SLC35E2
SLC35E4
SLC35F1
SLC39A14
SLC45A2
SLC48A1
SLC6A7
SLC9A1
SLC9A3
SLITRK5
SMIM21
SNCA
SNTB2
SNU13
SNX1
SNX15
SNX33
SOCS4
SORCS2
SORT1
SOS1
SP2
SPAG1
SPATA2
SPINK7
SPIRE2
SPOCD1
SPOCK2
SPON2
SPRN
SPRYD7
SPTBN2
SRGAP1
SRRM2
SSC4D
SSTR5
ST14
ST20-MTHFS
ST3GAL2
ST8SIA1
STAU2
STON1-GTF2A1L
STPG4
STX10
STX18
STXBP5L
STXBP6
TAB1
TAF1C
TAX1BP3
TAZ
TBC1D20
TBC1D22A
TCEAL6
TCF12
TCF3
TCHH
TCOF1
TEAD1
TGFBR2
TGM2
THAP5
THEM4
THSD4
TLDC2
TMBIM1
TMED3
TMEFF2
TMEM106B
TMEM14B
TMEM159
TMEM170A
TMEM178B
TMEM185B
TMEM199
TMEM203
TMEM215
TMEM254
TMEM72
TMEM79
TMPO
TMTC4
TNFRSF10D
TNPO1
TNRC18
TP53BP1
TP53BP2
TPM2
TPPP
TRERF1
TRIB3
TRIM26
TRIP12
TRPM7
TSPAN9
TSPYL4
TSPYL5
TTLL9
TULP4
TUSC5
TVP23A
TXLNA
TXLNB
TYMSOS
UAP1L1
UBA5
UBE2D4
UBE2O
UBE2QL1
UBE3A
UBFD1
UBLCP1
UBN2
UBP1
UBQLN4
UNC5C
UQCR10
USF3
USP22
USP32
USP36
USP9X
UVSSA
VGLL4
VMAC
VPS13C
VRTN
WDR1
WDR31
WDR34
WDR78
WDR82
WDR91
XIAP
YPEL2
ZBTB3
ZBTB42
ZC3H12B
ZEB2
ZNF2
ZNF212
ZNF316
ZNF337
ZNF33A
ZNF33B
ZNF343
ZNF436
ZNF486
ZNF496
ZNF555
ZNF562
ZNF578
ZNF587B
ZNF621
ZNF626
ZNF662
ZNF70
ZNF704
ZNF718
ZNF727
ZNF736
ZNF766
ZNF776
ZNF777
ZNF783
ZNF791
ZNF805
ZNF806
ZNF81
ZNHIT6
