,Genes,TE0,TE1,TE2
0,NM_001308384,0.251316807817656,-1.46423614800051,-0.124227646267569
1,NM_001145642,0.0207237861252821,-0.777421935437475,-0.534660719270952
2,NM_033426,0.0217701783773696,-0.230689647174137,0.109488334910618
3,NM_022104,-0.43389913857353,-1.3313478914118602,-0.698489803655991
4,NM_021224,-0.12073037401301,-1.30745393661588,-0.7868133958006259
5,NM_022151,0.0171150603277808,-1.52756514902576,-1.0815358407703701
6,NM_001105540,0.289188564662291,-0.42234022889434203,-0.0942931579134907
7,NM_001331088,0.30997383040315996,-0.7237243899136551,-0.5920999139729399
8,NM_001261,-0.280519774894834,-0.752623538459485,-0.0838148649173439
9,NM_001345970,-0.0758194590855843,-0.890772464855352,-0.738928566140525
10,NM_004595,0.0897877728225597,-0.532086167005815,-0.28846647717700896
11,NM_001318819,-0.010070771652075,-0.39478680265376004,-0.22721921788848698
12,NM_080538,-0.11842438056655001,-0.677299403993722,-0.0337248868908292
13,NM_001120,0.133379576252537,-0.9709515974384159,-0.0163076326151145
14,NM_014704,-0.34180728595058096,-0.986216443156019,-0.640358764404281
15,NM_005730,-0.405024108027976,-0.9435060060808941,-0.42236245458720095
16,NM_013318,0.21065684404557197,-1.11595498323691,-0.40072180786990397
17,NM_138813,0.466593894200468,-0.639274301804129,-0.420036913107646
18,NM_001345982,0.135293270268492,-0.246162473673875,-0.17973331620701802
19,NM_001322253,-0.0220815626938327,-0.5847634751602211,0.0355103246646474
20,NM_017780,-0.140054117068746,-0.7435488743756701,-0.63573879656818
21,NM_001321149,0.26092869865310997,-0.48578720447985796,-0.179746713499536
22,NM_002466,-0.16411513741107597,-0.9699649219521509,-0.523609701321066
23,NM_007313,-0.10396672792584101,-1.30174151769025,-0.250420827349326
24,NM_006526,0.0409777843421515,-2.07868047708853,-0.534037376661985
25,NM_031449,-0.110010570561336,-0.6151958886565101,-0.48838166365593894
26,NM_199341,-0.124634751362884,-1.98975446110315,-0.187264900335006
27,NM_001291549,0.0821155830410716,-0.689365901589213,-0.666140783492096
28,NM_022338,0.15595658013643,-0.743938227393344,-0.39949033380305393
29,NM_014698,0.135068693486576,-0.7336145809906949,-0.233877956600215
30,NM_013235,-0.318451313632437,-0.957979838685236,-0.399907013482175
31,NM_001003699,-0.348319672582445,-1.0878829159326802,-0.650994473284413
32,NM_014798,0.224040596355724,-0.453940736537094,-0.44274354834717794
33,NM_152787,-0.0144266203237752,-1.4759223313013898,-1.26658157983991
34,NM_004599,0.22600188043661804,-0.586771395853935,0.0776573444248783
35,NM_015540,0.27141572234350597,-0.44881958675094796,-0.5728242491453089
36,NM_014807,-0.0939250977121812,-0.33934164701351693,-0.14862103956948
37,NM_001322260,-0.195443056207311,-0.699825319555999,-0.0551656322194053
38,NM_014323,-0.135332996068553,-0.7090298193785078,-0.30266981220990696
39,NM_001981,0.479388904419844,-1.1118405873856,-0.0596727540004004
40,NM_001193466,-0.123042051798106,-0.9101277503650209,-0.773285144257841
41,NM_001202543,0.177710824073269,-0.52207240467412,-0.63247444181502
42,NM_015175,-0.0814503436560028,-0.8077891071744141,-0.18466153543985697
43,NM_003112,-0.20587791096345998,-0.6605781981311949,-0.380123781537548
44,NM_001242829,0.0626346598528029,-0.914178740392047,-0.624909018479104
45,NM_001320415,0.0234204125714456,-0.0916540216923362,-0.100044628678674
46,NM_004943,0.016888225514318,-0.369574406242896,-0.11948928705978601
47,NM_152736,0.128121673707599,-0.239781311006756,-0.039078712797627
48,NM_001105537,-0.179895705655076,-0.38778572041626796,-0.15479124578819198
49,NM_013368,-0.186807497465964,-1.06948163556152,-0.633890652091707
50,NM_018364,0.34737502408585397,-0.475546840855964,-0.0458361962951455
51,NM_030961,-0.0405098592087761,-0.840588557326675,-0.131260519278869
52,NM_001353891,-0.244087945670036,-0.6396183106201329,-0.26521976992964397
53,NM_138578,-0.17811656566939102,-1.09180639074829,-0.6291231706811079
54,NM_144599,0.32689618609326,-0.7264349030705508,0.0677547466598625
55,NM_001271938,-0.0562860238180004,-1.20266289934916,-0.726084975636699
56,NM_152468,0.33925037463290403,-0.721721943051325,-0.24247590549626
57,NM_020421,-0.295599900019433,-1.78261436141455,-1.06925882577899
58,NM_145055,-0.18314264031662603,-0.6903210863147881,-0.43437938817676097
59,NM_156039,0.0965769377549359,-0.803866199738407,-0.7002035345497141
60,NM_001142645,-0.0217548420027748,-0.911311640865283,-0.733259795137718
61,NM_001122772,0.0734565316195521,-0.875814166654588,-0.620418348591064
62,NM_012335,-0.0411411334802857,-0.685736084165591,0.0374296465894246
63,NM_015056,-0.0748878659396473,-0.651488113312213,-0.661493448192089
64,NM_178836,0.12247941290691,-0.144749064687339,-0.0922541128188036
65,NM_001007527,0.0217716432411019,-0.45804630405938795,0.16903108776473
66,NM_017951,-0.0847760373738543,-0.43590781076958596,-0.325108200273437
67,NM_001257291,-0.0898070551792979,-0.8128426488849839,-0.512000311683087
68,NM_004946,0.215010414955561,-0.28963423095247703,-0.365373307554385
69,NM_198040,-0.00479207890742284,-1.31577501718383,-0.422317766833752
70,NM_001352890,0.387612665813065,-0.36343168560390793,-0.257790889863017
71,NM_001323638,0.459457792923603,-0.7365192932654259,0.0122963807828806
72,NM_019034,0.0977105764765398,-1.5260797820963001,-1.32047348701024
73,NM_015338,-0.163039131527272,-0.940925768107076,-0.37498642186514897
74,NM_001257407,-0.102431121866931,-0.37125571793999607,-0.0162997195092747
75,NM_024759,-0.258154096953486,-1.34766541994916,-0.43163306437543697
76,NM_001286184,0.06474437886864401,-0.43498488859961504,-0.148909092069431
77,NM_153689,0.115393536303591,-0.831168506189578,-0.0897108737594454
78,NM_001352964,0.22490398369532605,-0.36896162439924396,0.0165269500679738
79,NM_006357,-0.17342313386934102,-0.6563417977707661,-0.0198916664571513
80,NM_001145260,0.18176432859074398,-0.494990577073896,0.173634813422241
81,NM_018641,-0.28422781412625897,-1.06682664846929,-0.88254922531007
82,NM_024031,-0.257710591258546,-0.511464761795474,0.22092121729817898
83,NM_001199295,0.372372665608824,-1.78811833645101,-0.222049146263976
84,NM_015401,0.24854527888328,-1.28072638363886,-0.499200156961051
85,NM_001128304,0.23857557555124398,-0.15880795230843,-0.16901417437273902
86,NM_001193362,0.0487138680065677,-0.0697254534364318,-0.0122130766968369
87,NM_001130071,0.507609742004633,-0.554270712412394,-0.156801630526778
88,NM_001320714,0.0629382582444743,-0.493228671993144,-0.5042529575749211
89,NM_015343,0.0987024630031196,-0.4503325244649529,0.230603196683502
90,NM_024940,-0.38293588326058,-1.11680026095322,-0.65674076893735
91,NM_022089,0.41091593633569606,-0.525718793384394,-0.486428578176709
92,NM_022908,0.273878279118082,-1.37901334803795,-1.03348683858028
93,NM_007199,0.117377255920346,-0.24579265550748003,-0.375249915439291
94,NM_001330526,-0.234219242311582,-1.02473448434179,-0.825887736946662
95,NM_005480,0.23415325060033398,-0.913059829448068,-0.41552605343453297
96,NM_001145365,-0.17491637329966198,-0.761980426762249,-0.618649276992314
97,NM_001144875,-0.39660139295509794,-2.2331467585449,-0.6875018545474599
98,NM_015397,-0.134594953919641,-0.628213302343795,-0.225445685751976
99,NM_006322,0.133080442422573,-0.502598426693318,-0.32171886373063696
100,NM_001136195,0.285943889959422,-0.815182090974307,-1.03029621441298
101,NM_015042,0.00349350856290485,-0.294166369118699,-0.363999287794445
102,NM_198679,0.369703334958694,-0.42179052427117697,-0.23790885635548603
103,NM_001433,0.31421274754976697,-0.845518667748178,-0.558733390317386
104,NM_000333,-0.18169763054916602,-0.690982709134112,-0.24327696299107
105,NM_007353,0.0066275461241902,-0.164037530852139,-0.160796820210941
106,NM_003355,-0.0127082461754228,-1.31878625321506,-1.35084362815129
107,NM_001350220,0.20568842356353198,-0.732690839767805,-0.745821284751375
108,NM_032222,0.0216937492328113,-0.746912171913545,-0.24518202558967497
109,NM_001287491,-0.518029263009628,-1.59769964879816,-0.56948292656025
110,NM_001024847,0.32538862580061895,-0.567599833990595,-0.33592573929488895
111,NM_017759,-0.0728926458282242,-0.632847727856656,-0.6402545047352061
112,NM_018590,0.18262852368849802,-0.78738343462257,-0.0540214619713928
113,NM_012154,0.462860634594111,-0.9692596823200519,-0.0509566834955488
114,NM_001323570,-0.0470445644127316,-0.9816454916262571,-0.100713944893695
115,NM_004689,0.174417624557954,-0.7917596723394158,-0.474564421939421
116,NM_003298,0.0193318370388902,-0.6775240294136639,0.0854818566121004
117,NM_006598,0.50472562837278,-1.26591793762357,-0.0883349257628
118,NM_001267595,0.19092646066275198,-0.6124598020086021,0.356617537546671
119,NM_001171167,-0.31573117948651297,-1.22409073436647,-0.6890588007713411
120,NM_181832,0.0506312337900692,-0.567627659884432,0.44635727508146206
121,NM_015527,0.0634361746179688,-0.48070080682475297,-0.39348563951441495
122,NM_001320421,0.0733812104978935,-0.559175655250833,-0.00625037864755267
123,NM_006662,0.0691593933012729,-0.764746603213982,0.10134197568808699
124,NM_022748,-0.24500270131606303,-0.7500849452578942,-0.0929553740491392
125,NM_001007237,0.257142873112856,-1.5522556410605002,-0.527358195432707
126,NM_139283,0.28392814119972,-0.25972920430879703,-0.37006082750109903
127,NM_004285,-0.162773912297316,-0.32852036539519797,-0.0607539886780378
128,NM_025215,0.0972280307268678,-1.03092395438111,-0.357654870186281
129,NM_022492,-0.38066343512564793,-1.0500016688374,-0.118071554282708
130,NM_004555,-0.0725843576892853,-0.510061103686439,-0.44281105263271897
131,NM_014931,0.5945515854933161,-0.900131981371634,-0.0673274166394899
132,NM_001350234,0.33898976532326197,-0.31016690670621505,-0.23542311822470002
133,NM_022070,0.329821858769948,-0.655452051246781,0.204083664270699
134,NM_138621,-0.157342123991289,-1.7727209825551,-2.03506766418902
135,NM_004638,0.20651173961000302,-0.803206911967217,-0.548836129377252
136,NM_005679,0.70044969631621,-0.794859485887999,-0.22913225535045198
137,NM_202002,0.37781141791499706,-0.7573543786027321,-0.385970685067892
138,NM_001136049,-0.0937989960075717,-0.250043871616673,0.148050704733794
139,NM_052876,-0.36721224566710703,-0.743991025784542,-0.13274252865192898
140,NM_001331017,0.19025178086473,-0.239173339362557,-0.30156789562240993
141,NM_001282640,0.19961399442420102,-0.6631755160637671,0.000321779832301704
142,NM_138714,0.27815589534636104,-0.46491386107792,-0.0769102219155017
