,AccNum,Gene,TElogFC,RNAlogFC
0,NM_017847,ODR4,0.25449089040276396,-0.0741127946288224
1,NM_001003803,ATP5S,0.198871703310498,0.277344369124594
2,NM_001003800,BICD2,-0.144923895879202,-1.14250730191119
3,NM_016649,ESF1,0.10952494185057199,0.868714299255307
4,NM_016647,THEM6,0.0696199606648984,0.0239509272220589
5,NM_016640,MRPS30,0.473525911629016,0.14780442929024498
6,NM_001304467,EEF1AKMT2,0.473272911897,0.621919772375882
7,NM_001080825,TMEM120B,-0.0961946238690721,1.54946438876816
8,NM_002223,ITPR2,-0.15674067283130302,-1.3601672367033701
9,NM_001253384,RPL15,0.9847253728254358,-0.418812138874009
10,NM_001145313,FSD1L,-0.0878776672679575,1.11837211587898
11,NM_018476,BEX1,0.62680914169766,-1.6414992565320603
12,NM_003363,USP4,-0.932954197209021,0.6791645447820711
13,NM_207118,GTF2H5,-0.00161195632284625,0.47358835969440005
14,NM_001282730,SUPT7L,-0.101868431235787,0.18461828926317603
15,NM_007100,ATP5ME,0.483437039973799,-0.151500487616176
16,NM_000485,APRT,0.29562699691947103,0.233568081796684
17,NM_007108,ELOB,0.650190142817035,-0.199350361317331
18,NM_001350532,SNX14,0.157077328815474,-0.783566869388022
19,NM_001350531,LARP1B,0.268953513797681,0.47453159144640006
20,NM_001350530,MIER1,-0.0630637585485683,0.20697131819882397
21,NM_014177,TIMM21,0.24881891295410602,1.06974860138836
22,NM_020992,PDLIM1,-1.00805788086925,-0.742046395019331
23,NM_005802,TOPORS,0.403407690340002,0.0367851040097865
24,NM_005258,GCHFR,0.6004724797402591,0.38330338596163704
25,NM_003824,FADD,0.42324044791439397,-0.708790014152067
26,NM_003825,SNAP23,0.14520563326138,-0.8545286440554809
27,NM_003826,NAPG,0.265419672201534,0.038968951781339994
28,NM_003827,NAPA,-0.325010211502108,0.374709262437904
29,NM_003820,TNFRSF14,0.0968111594823334,-1.95507343435901
30,NM_003821,RIPK2,-0.11704487196591601,-0.700787231967362
31,NM_003795,SNX3,0.37568760885513997,-0.38525940181823404
32,NM_012181,FKBP8,0.204548908619202,-0.380187453102872
33,NM_012180,FBXO8,0.44783685348259494,-0.449550051550928
34,NM_001018088,VPS13C,-0.10419660820428801,-0.6824744925834809
35,NM_001025780,ABHD17B,-0.22985056441514998,-1.46849480475703
36,NM_001300829,CIRBP,0.507276757277296,-0.768520013824774
37,NM_001688,ATP5PB,0.38151161367371395,0.15649101398780998
38,NM_014171,CRIPT,-0.109008336226636,0.36465553015368796
39,NM_001867,COX7C,0.400571634085486,0.13400968739730199
40,NM_144643,SCLT1,0.256417144097878,-0.41490479467601205
