"Gene","TEfc","RNAfc","L24","S15","L24overS15"
"TMEM50A",-0.323062503583927,0.117167127926916,"noChange","noChange","noChange"
"AKR7A2",0.548776937725717,-0.669419385507437,"noChange","noChange","noChange"
"YARS",-0.223941256905916,0.0450121019415923,"noChange","noChange","noChange"
"PDXK",0.0979342920586989,-0.61970531949003,"noChange","noChange","noChange"
"MADD",0.0482563872495521,-0.459384382735797,"noChange","noChange","noChange"
"MKNK1",0.0336310608964499,0.712663090447813,"noChange","noChange","noChange"
"KHSRP",0.237159939232343,-0.884714346196193,"noChange","noChange","noChange"
"SLC35A1",-0.561258477943471,-0.713373812544451,"noChange","down","noChange"
"SURF1",0.0184967352150821,0.447409362838891,"noChange","noChange","noChange"
"AGPAT1",0.638899563353896,-0.568779528463128,"noChange","noChange","noChange"
"SMARCA4",0.0917006986031808,-1.34213325877785,"noChange","noChange","noChange"
"MAD2L2",0.523349463835948,-0.296293248986143,"noChange","noChange","noChange"
"CBX5",-0.0581522738469471,0.0484067894506615,"noChange","noChange","noChange"
"COPA",-0.262633006670415,0.275244151650927,"noChange","noChange","noChange"
"AMPD2",0.464419763187549,-2.10923194264669,"noChange","noChange","noChange"
"RARS",-0.266663183199394,-0.723657959893603,"noChange","noChange","noChange"
"RAP2B",0.543926512581571,1.09107512510399,"noChange","noChange","noChange"
"TSR2",-0.317146557366302,-0.501807050727494,"noChange","noChange","noChange"
"MBOAT7",0.316935605467987,-0.281133204243496,"noChange","noChange","noChange"
"PPDPF",1.24871737560604,0.320899205149765,"up","up","noChange"
"UBL5",0.00484795350977607,0.566425744175928,"noChange","noChange","noChange"
"RETREG2",0.0864305523250787,1.75298506014826,"noChange","noChange","noChange"
"ILRUN",-0.151975333442378,1.18472393165005,"noChange","noChange","noChange"
"FKBP4",0.0617556035249166,-1.45279367390449,"noChange","noChange","noChange"
"PHF23",0.141054041075256,1.08157050690275,"noChange","noChange","noChange"
"KBTBD8",-0.0274499445578473,0.872521952870209,"noChange","noChange","noChange"
"ACSS1",0.0908029498682767,-0.902583641317416,"noChange","noChange","noChange"
"XRCC6",-0.00785896127216621,-0.363150046418962,"noChange","noChange","noChange"
"FASN",0.277424338520481,-3.23713814052969,"noChange","noChange","noChange"
"ZFYVE19",0.804150040317463,-0.242258302218701,"noChange","noChange","noChange"
"TUBA1C",-0.00169284784861395,0.328899875059188,"noChange","noChange","noChange"
"GRN",0.482571928800225,0.0941168010344445,"noChange","noChange","noChange"
"GRB2",-0.177617926554278,0.0256414271886322,"noChange","noChange","noChange"
"GOT2",-0.177370002437988,-1.48872541555668,"noChange","noChange","noChange"
"FAM118A",-0.527934415092618,-0.030145566499264,"noChange","noChange","noChange"
"OARD1",0.131732341269874,0.280509112988623,"noChange","noChange","noChange"
"ELP4",-0.189757468949916,0.117157643487579,"noChange","noChange","noChange"
"CCDC22",0.00606118341432427,-1.16578445508722,"noChange","noChange","noChange"
"ZBTB43",0.0585338721591871,1.16337876186302,"noChange","noChange","noChange"
"DHX38",-0.04832895646909,-0.00564345530003375,"noChange","noChange","noChange"
"VCL",-0.0523266115797829,1.61283561157881,"noChange","noChange","noChange"
"NUP133",-0.0978246006491598,-0.421357931358049,"noChange","noChange","noChange"
"POFUT1",0.0718985775244646,-0.914491541235367,"noChange","noChange","noChange"
"SUZ12",-0.261043816242092,0.490306384963393,"noChange","noChange","noChange"
"NUP188",0.095053523908661,-0.61198741656711,"noChange","noChange","noChange"
"NDUFS1",-0.248595786722285,0.175529526898462,"noChange","noChange","noChange"
"TAF7",-0.325890693361682,0.889334841324629,"noChange","noChange","noChange"
"AGK",-0.348058752484138,-1.23421977239011,"noChange","noChange","noChange"
"ELL",-0.155671103269344,0.375336229894619,"noChange","noChange","noChange"
"ATXN7",0.536461585619705,0.376203874860958,"noChange","noChange","noChange"
"JUNB",0.399664242981456,2.39470593719598,"noChange","noChange","noChange"
"FNIP1",-0.433567221032213,1.03010376594017,"noChange","noChange","noChange"
"ERCC6L",-0.299879606148317,-0.102624342805446,"noChange","noChange","noChange"
"TNRC18",0.496287286379259,-1.2129229279916,"noChange","noChange","noChange"
"ITPKB",0.407073075452193,0.653371927865059,"noChange","noChange","noChange"
"OSBP",-0.0472122994394312,-0.412279089310377,"noChange","noChange","noChange"
"SMARCB1",0.0353773237568762,-1.72225509837369,"noChange","noChange","noChange"
"MARK2",-0.222714885750011,-0.482209798613055,"noChange","noChange","noChange"
"SRSF5",-0.146220237407198,0.222929041488179,"noChange","noChange","noChange"
"ARSA",0.395230230080515,0.61088451793408,"noChange","noChange","noChange"
"NOP14",-0.200984553229663,-1.45066073600471,"noChange","noChange","noChange"
"FARSB",-0.267543465873293,-0.794325341850822,"noChange","noChange","noChange"
"DYNC2LI1",-0.0775176526050316,-1.02111747761362,"noChange","noChange","noChange"
"TAF1B",-0.451459027293968,-0.497406189675906,"noChange","noChange","noChange"
"EIF2B4",-0.16260230126044,-0.371807048895904,"noChange","noChange","noChange"
"PNPT1",-0.0923666437214475,-1.31340305129791,"noChange","noChange","noChange"
"GEN1",-0.35064060252471,0.65230304085839,"noChange","noChange","noChange"
"APP",0.155396797277029,-1.65696680007326,"noChange","noChange","noChange"
"MANSC1",0.0836604551721828,-0.19281724343635,"noChange","noChange","noChange"
"VAC14",0.124804184072361,-1.18766517333719,"noChange","noChange","noChange"
"IFT27",0.199082353555134,-0.405952609924373,"noChange","noChange","noChange"
"STON2",0.0169152802873532,-1.74056164328127,"noChange","noChange","noChange"
"GTPBP10",0.0606147520316741,-0.265807994591683,"noChange","noChange","noChange"
"PCNA",-0.171749131021668,0.515595721506733,"noChange","noChange","noChange"
"SH3GLB1",-0.231816206270924,-0.302650061723827,"noChange","noChange","noChange"
"LPIN1",0.22362861682387,-0.704367003321076,"noChange","noChange","noChange"
"RPS6KA3",-0.308450750734967,-0.179676979463927,"noChange","noChange","noChange"
